genotype,treatment,mean,var,color,entropy,resid_entropy,ev,hell_ev,en_r1,en_r2,resid_en_r1,resid_en_r2,MV,hell_rep,MI_rep,mean_r1,mean_r2,var_r1,var_r2,perm.pval_rep
dgrp100,shock,0.24626444354127,0.0175163246855934,gold,-0.636374964185488,2.0663244326935,NA,NA,-0.579122281524957,-0.848125609184762,1.63970635741561,1.93380999892063,2.41343058812424,0.0735295004391463,0.777661295762166,0.269375365290965,0.223153521791576,0.0210078954041298,0.0141313885071982,0.338851462853323
dgrp100,noShock,0.318714104081479,0.0230056144637129,darkgray,-0.491517687575522,1.9796498452445,NA,NA,-0.611052283904148,-0.46411496191981,1.710493230055,2.16608493924983,0.814542927699082,0.0611713863060903,0.429732602144358,0.328027042294155,0.310565283145387,0.0236850224381104,0.0237987229183813,0.75307872451648
dgrp100,NA,0.282489273811375,0.0212520429663687,black,-0.548251424981986,1.942823235246,0.202784292259068,0.0313566391470405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp208,shock,0.349407693142981,0.0188228159528609,gold,-0.575183888968962,1.93280657261433,NA,NA,-1.00693370320526,-0.495553796127427,1.52470739303014,2.15353245665425,0.703471683069028,0.16388351365084,0.412987904662254,0.38793704779063,0.316015585781684,0.015646096573597,0.0203170524378085,0.166535683024805
dgrp208,noShock,0.321928929895359,0.0187109470505613,darkgray,-0.526947379189293,2.01970918784935,NA,NA,-0.736767595522155,-0.35060421686152,2.13338193026454,1.99150936135661,1.79869961613137,0.0646619086429163,0.422810455240162,0.297738264561138,0.351702056460554,0.011709081149732,0.027281964974139,0.290720133560141
dgrp208,NA,0.335427269736296,0.0186228421607141,black,-0.537213936015616,2.06404560103199,0.365140601625644,0.0149966100804612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp373,shock,0.332475554210021,0.0236874343108842,gold,-0.473354592906174,2.15643667446676,NA,NA,-0.421528780631797,-0.528905777756632,2.10067892127926,2.10657733323212,0.253106646369258,0.0143938646653243,0.561439891352151,0.311885488797346,0.356007057538792,0.0267265727201509,0.0208847344945722,0.433422172524155
dgrp373,noShock,0.310659655562087,0.0183565290032667,darkgray,-0.596154033679348,2.12439428369561,NA,NA,-0.67398286362895,-0.502604780343839,1.78680833998457,1.97018144002608,0.292324155496919,0.0200348175574226,0.673011667009257,0.300728103993673,0.322010000211703,0.0174475315804104,0.0205572747224901,0.667764229701978
dgrp373,NA,0.321567604886054,0.0207866769087734,black,-0.543246863708351,2.18051028877939,0.200529766907329,0.011306589435257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp91,shock,0.368204166144524,0.0262598412879182,gold,-0.368891538734957,2.18751226401333,NA,NA,-0.309988112860391,-0.681812498433789,1.96869320850494,2.02622962299529,1.3893280239482,0.135475864265906,0.666089520105061,0.439331542618634,0.297076789670415,0.0277331590179528,0.0158212900411141,0.0162126223984469
