genotype,treatment,mean,var,color,entropy,resid_entropy,ev,hell_ev,en_r1,en_r2,resid_en_r1,resid_en_r2,MV,hell_rep,MI_rep,mean_r1,mean_r2,var_r1,var_r2,perm.pval_rep
dgrp100,shock,0.238878426968582,0.0413753177293853,gold,-0.399060477088445,1.87209599867908,NA,NA,-0.465951404297078,-0.492663513828498,1.67920433160271,1.99134641341099,0.964522382933598,0.0745596899248387,0.482057416520813,0.23451962177296,0.243237232164204,0.0561273819429817,0.0295379208191735,0.906566789499161
dgrp100,noShock,0.297255636936249,0.090532550763997,darkgray,-0.22606787936896,1.87687041994138,NA,NA,-0.469842564812385,0.124975159350143,1.40032657623119,1.66746193342929,2.75503070969672,0.0840124250711894,0.891023577952585,0.223327980745526,0.361942336103132,0.0494132642798096,0.122640496988982,0.208089512872987
dgrp100,NA,0.268067031952415,0.0657024858637665,black,-0.301323680079107,1.84696201430241,0.226390177297366,0.042071037934783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp208,shock,0.480600426352359,0.0839790957349547,gold,0.0669704947401407,1.91164694358553,NA,NA,-0.141322317328621,0.18908955533185,1.99150936135661,1.80650716526167,3.04343989789145,0.0547199577206715,0.75931628874479,0.417487923997775,0.535297928392999,0.0505465738438281,0.111729857455758,0.283343012604022
dgrp208,noShock,0.182053849001027,0.0232876850674839,darkgray,-0.643874161082703,2.00104873236322,NA,NA,-0.553697763225852,-0.723062310359517,1.89036277533887,1.77823330579971,0.619969866123486,0.0170166335786137,1.05492016798614,0.186784454542522,0.176231565257648,0.0289032240269793,0.0181423397150319,0.853072199748833
dgrp208,NA,0.328708308050804,0.074807199714453,black,-0.0814058166292653,1.73293759549393,0.535323899022055,0.230116980041448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp373,shock,0.383154480139612,0.0795113732598035,gold,0.0283808737624767,2.00611067018827,NA,NA,-0.0145369156288616,-0.0195933404652542,1.66746193342929,1.97018144002608,0.462353700565717,0.0389880409179677,0.725336481385712,0.385004892806477,0.381039722806052,0.092842869749001,0.0702361063912743,0.969349062058564
dgrp373,noShock,0.20135832763858,0.0275354907257538,darkgray,-0.555317249047217,1.97063062509287,NA,NA,-0.61558980027971,-0.490593093511226,1.96009513512456,1.80951425584928,1.76490750620775,0.0139616308536583,0.845620910480325,0.180668717160871,0.225003596755961,0.0240491590386324,0.032547346402846,0.465349450791636
dgrp373,NA,0.292256403889096,0.0610187571448109,black,-0.178270566463756,1.92204374925774,1.26361725592871,0.108836986491452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp91,shock,0.347936769159929,0.0922761935863012,gold,-0.00408768077383848,2.04233446084941,NA,NA,-0.0792975022363909,0.0695903397804335,1.70947277658421,1.84139037484597,1.43667820051239,0.02104317890582,0.422810455240163,0.315331319466752,0.380542218853107,0.0930548038819836,0.095810635654581,0.556597121338067
dgrp91,noShock,0.141784975138703,0.0145993045756683,darkgray,-0.867332967221525,1.88438940235668,NA,NA,-1.00892478456066,-0.749152254849843,1.89431202473353,1.84139037484597,1.26754335711726,0.0320699428833604,0.759316288744791,0.115471828611137,0.168098121666269,0.0112632741928645,0.0174944673992031,0.23294803660977
dgrp91,NA,0.244860872149316,0.06333674371813,black,-0.342145071370471,1.77685960114071,0.624873626592856,0.17102730357667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp195,shock,0.642473954610371,0.16409023868486,gold,0.446829487274869,2.18593588320135,NA,NA,0.460370351935595,0.333661928385688,1.93380999892063,1.94591014905531,3.93132590057531,0.0536861392250646,0.916290731874155,0.742933547946043,0.534838676036436,0.161481697984545,0.155400462944867,0.166851916993578
dgrp195,noShock,0.247482586973227,0.0264595968536125,darkgray,-0.478236138235405,1.99709145003665,NA,NA,-0.335001658169162,-0.675604368419361,1.83378554682005,2.04673853269455,1.7044532266095,0.0766977527917401,0.647744513087686,0.267218748726406,0.230213445439196,0.0391244440531839,0.0165657159295831,0.534181637962489
dgrp195,NA,0.441630886320298,0.132111414835113,black,0.200710443247661,1.96605910328688,0.69791727581933,0.263248901129779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp228,shock,0.302314609562324,0.0662431728208103,gold,-0.124158896603233,2.04233446084941,NA,NA,-0.0631658637213016,-0.221563681805729,1.89431202473353,1.87627358443028,0.80000230414126,0.0316409247212436,0.527460083993072,0.335905721723967,0.26872349740068,0.067878875888318,0.0669212046342403,0.474702217544005
dgrp228,noShock,0.264279633296008,0.0475299502991885,darkgray,-0.350466931397814,1.91219080837729,NA,NA,-0.286602601944033,-0.572150930837327,1.74897075077131,1.74897075077131,1.47042104556983,0.0552451762831729,0.534382230897268,0.281494027199983,0.247065239392034,0.0469959829790835,0.0508239097317757,0.665390663726789
dgrp228,NA,0.283297121429166,0.0562901773181975,black,-0.226398616377956,2.00231528662895,0.997097338855517,0.0268123886486726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp595,shock,0.552613875953679,0.187209466819946,gold,0.433308280664187,2.05328728345018,NA,NA,0.412837160535084,0.470830131787587,1.93380999892063,1.74897075077131,2.092295939412,0.00895188988552564,0.448077609161734,0.578615894901066,0.526611857006292,0.168893949414574,0.217448292592443,0.742036622086505
dgrp595,noShock,0.381892130294929,0.103506245804429,darkgray,0.119903178736372,1.99805825126122,NA,NA,0.0363894757665671,0.130227832246745,1.84139037484597,2.06111283257959,0.265932269770952,0.0412812776440612,0.647744513087686,0.385495034925894,0.378289225663964,0.10346731209965,0.110910666519996,0.951089971425637
dgrp595,NA,0.467253003124304,0.150304142079974,black,0.297769342077454,2.01370948093332,0.230828691562836,0.0367827699559136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp705,shock,0.446355047794287,0.0660366582519209,gold,0.0144843174084356,2.02688320776276,NA,NA,-0.0596116681660597,0.00609151322753271,1.8446214763655,1.84139037484597,0.816390017696751,0.0404953071952445,0.845620910480326,0.464163203848244,0.430921312547525,0.0545224334092224,0.0800732052606887,0.732821436280816
dgrp705,noShock,0.499277345695751,0.272823831209921,darkgray,0.362335360698662,1.43573977492781,NA,NA,-0.00110448248317035,0.68506330563569,1.71154728628635,1.35797785498732,2.75549995644182,0.115057078119833,0.700069327464141,0.345948759891923,0.716492842251174,0.0890308624544966,0.477156224769254,0.059897698955542
dgrp705,NA,0.473280427428365,0.168963495171761,black,0.21463181778238,1.46743565511001,2.89537948506845,0.0510748169148176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp75,shock,0.434407806422189,0.0808987476378444,gold,0.0824232989500397,2.0640170503921,NA,NA,0.121903238002195,-0.0386426037529231,1.97018144002608,1.92739212613927,0.914785772629284,0.054728466401454,0.500402423538188,0.528356153164229,0.352203003022905,0.0770801936489999,0.0741554001901317,0.0905846723305428
dgrp75,noShock,0.269584002822866,0.0338313986036914,darkgray,-0.375936340681503,2.16314851231699,NA,NA,-0.426210218361346,-0.381845599715935,2.01403552370927,1.83378554682005,4.14604264538677,0.0200291112009149,0.620686852632802,0.260659902321528,0.279782974824396,0.0296769051204093,0.041017421782027,0.776338838313825
dgrp75,NA,0.351995904622528,0.0632996192287926,black,-0.0865722828933327,2.01571844547917,0.301568413129839,0.0860060593002558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp820,shock,0.404226710291819,0.0436243797886605,gold,-0.16108833821353,2.07013205273122,NA,NA,0.0311315327519856,-0.480300681366844,2.00755630743784,1.99279814410984,1.37001528181492,0.127827592302955,0.666089520105061,0.458578077762304,0.356669263755144,0.0670391074224121,0.0210702833199743,0.182450879733929
dgrp820,noShock,0.337290015356952,0.112816561337538,darkgray,-0.0934780646915456,1.5893504895823,NA,NA,0.218750721077992,-0.539420647381233,1.70947277658421,1.99134641341099,1.23506941730735,0.136644398422171,0.620686852632802,0.422210806760036,0.252369223953869,0.19554828394121,0.022689862802563,0.166112483828922
dgrp820,NA,0.370758362824385,0.0780338154168103,black,-0.0626811628901608,1.73959171173957,1.46795551765876,0.0794169218352748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp879,shock,0.552638200378489,0.118387593087727,gold,0.270218410805734,1.97964984524449,NA,NA,0.304691577983146,0.178056312459273,2.08376603748565,1.99134641341099,0.660232503502409,0.036541279848409,0.561439891352152,0.644634451227972,0.460641949529007,0.121459300008593,0.105636478165211,0.143068169592699
dgrp879,noShock,0.261853325138213,0.0772200968855692,darkgray,-0.215758647279864,1.45904850915627,NA,NA,-0.32839887730222,-0.22753242361491,1.28687263039802,1.67920433160271,2.08791813711085,0.0622443408745434,0.80471895621705,0.256550033129035,0.267156617147391,0.100226587593354,0.0596690597278933,0.916748753198651
dgrp879,NA,0.407245762758351,0.117643401089036,black,0.16903515629912,1.9235648753076,3.07107399247229,0.118993479596574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp105,shock,0.304562584779826,0.076404778534031,gold,-0.168233454514534,1.59252974415371,NA,NA,-0.386615034078631,-0.0722532930004163,1.43275705299709,1.84074872856928,0.530837314937558,0.0881367641680956,0.613764705728606,0.324684343599138,0.286956045812927,0.0796344235116449,0.0779908557275648,0.709173052721088
dgrp105,noShock,0.226416940505745,0.0331285865354001,darkgray,-0.446220489552682,1.97159742631744,NA,NA,-0.614210947862418,-0.37950252319988,1.84139037484597,1.76700919107457,3.41623534649275,0.0645810846212751,0.845620910480325,0.207682677074561,0.245151203936929,0.0223999671804811,0.0454714493007569,0.572916118413702
dgrp105,NA,0.265489762642785,0.0553909951321808,black,-0.287460706056119,1.71085729363912,0.58109054936873,0.0395663626020113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp859,shock,0.435196232904085,0.119731810049557,gold,0.0391959628887681,1.73475041723154,NA,NA,0.424013914640269,-0.294708848821673,1.6987829895138,1.85942881514923,1.68524455186408,0.134685101692596,0.554517744447956,0.542764572384445,0.349141561319797,0.217014303370866,0.0339955181988596,0.148515161798498
dgrp859,noShock,0.510263337696926,0.0848988991844938,darkgray,0.143651273848396,2.21166570665571,NA,NA,-0.0972008245728292,0.117765612857609,1.73476452102578,2.22002532783454,0.592229585139755,0.121447513741025,0.388830647881083,0.375696355323512,0.628009447273663,0.0742950739982387,0.0680593303209793,0.0179715509694942
dgrp859,NA,0.474705235426633,0.100985222344992,black,0.147984363307157,1.93329440841123,0.448987297021235,0.0641844281498017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp303,shock,0.410335506456706,0.115998734664884,gold,0.179226871335439,1.9359182345563,NA,NA,-0.125982587662324,0.357813897222592,1.94591014905531,1.94591014905531,0.980421314233899,0.0955526051536214,0.395752794785278,0.312202631634088,0.508468381279324,0.0616624100016366,0.158516368811074,0.127349263474807
dgrp303,noShock,0.215538604235969,0.023110313012803,darkgray,-0.577284277773918,2.01137909930412,NA,NA,-0.611917699354401,-0.57512144156186,1.84139037484597,2.10657733323212,0.427988458470649,0.0281888276581714,0.647744513087686,0.200968251545126,0.231149696404729,0.0254527497743544,0.0218579963902052,0.593165831196696
dgrp303,NA,0.311228310590015,0.0771360052339927,black,-0.127745009224542,1.75838480433047,0.825595440731007,0.146662875891674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
