genotype,shocked,trackid,new_learningscore
dgrp100,false,17,-0.5760979767858934
dgrp100,false,18,-0.4715133150536338
dgrp100,false,19,0.02371176088095723
dgrp100,false,20,-0.19859039714760607
dgrp100,false,21,-0.30066722890652964
dgrp100,false,22,-0.6694624099147193
dgrp100,false,23,-0.2376763299420021
dgrp100,false,24,0.2005098147238966
dgrp100,false,49,0.18011827848349934
dgrp100,false,50,0.2831029457459441
dgrp100,false,51,0.7558924216665086
dgrp100,false,52,0.8671368705471206
dgrp100,false,53,-0.16725780954577454
dgrp100,false,54,-0.3862580121738935
dgrp100,false,55,-0.5045104874413077
dgrp100,false,56,0.4308895529657043
dgrp100,false,25,-0.45247850924017297
dgrp100,false,26,0.3497137531114036
dgrp100,false,27,-0.20689464219376813
dgrp100,false,28,0.1437648656532117
dgrp100,false,29,-0.02766374238117665
dgrp100,false,30,-0.21222268369028235
dgrp100,false,31,-0.17305936149877527
dgrp100,false,32,-0.14620864602084066
dgrp100,false,57,0.4920286077130273
dgrp100,false,58,0.02721737914414352
dgrp100,false,59,-0.3412658871594809
dgrp100,false,60,0.2559140074250274
dgrp100,false,61,-0.1607193527669265
dgrp100,false,62,-0.4520501834247945
dgrp100,false,63,-0.0049756416641158485
dgrp100,false,64,0.035174068674544354
dgrp100,true,1,-0.2369632410899604
dgrp100,true,2,-0.003782050937187635
dgrp100,true,3,0.433750411473134
dgrp100,true,33,0.12096305463349431
dgrp100,true,34,-0.17466590314876482
dgrp100,true,35,0.466808544140609
dgrp100,true,36,0.08705561180988916
dgrp100,true,37,-0.20613126314620203
dgrp100,true,38,-0.5988727395783242
dgrp100,true,39,0.3410976480807545
dgrp100,true,4,-0.13326090665353058
dgrp100,true,40,0.06542811828957006
dgrp100,true,5,-0.17699612413467236
dgrp100,true,6,0.3960364415923412
dgrp100,true,7,-0.2123887280760336
dgrp100,true,8,0.07837634056852044
dgrp100,true,10,-0.4385955686815256
dgrp100,true,11,0.003143595191168937
dgrp100,true,12,0.27195221341762355
dgrp100,true,13,0.5571035421240312
dgrp100,true,14,0.17705375697953651
dgrp100,true,15,0.04883699707440581
dgrp100,true,16,-0.22390571115385832
dgrp100,true,41,0.1913149771853718
dgrp100,true,42,0.04884590991766863
dgrp100,true,43,-0.20738441449693898
dgrp100,true,44,-0.11466822927100842
dgrp100,true,45,0.2133558267792872
dgrp100,true,46,0.26666666666666666
dgrp100,true,47,0.6484848484848484
dgrp100,true,48,-0.4764390280175155
dgrp100,true,9,0.1780673068031195
dgrp208,false,17,0.3591992599316426
dgrp208,false,18,0.24718093241427253
dgrp208,false,19,-0.3740241710246494
dgrp208,false,20,0.16116208469483534
dgrp208,false,21,0.2602068752498537
dgrp208,false,22,-0.25762310325858895
dgrp208,false,23,0.13045445946407988
dgrp208,false,24,0.20966298618608906
dgrp208,false,49,0.12048366225996757
dgrp208,false,50,-0.0397386871395067
dgrp208,false,52,-0.20226365418382325
dgrp208,false,53,0.3736336100142
dgrp208,false,54,0.5054043233316028
dgrp208,false,55,-0.03812320435165856
dgrp208,false,56,-0.1575572234394651
dgrp208,false,25,0.321094841320996
dgrp208,false,26,0.527091248603984
dgrp208,false,27,-0.29229718215255823
dgrp208,false,28,-0.07414342473809656
dgrp208,false,29,-0.11307082024173204
dgrp208,false,30,-0.4713279736907089
