contrast,estimate,SE,df,t.ratio,p.value,genotype,sex
noShock dgrp100 - shock dgrp100,0.023695659,0.027434156,4910.957317,0.863728389,1,dgrp100,NA
noShock dgrp101 - shock dgrp101,0.079517166,0.027345835,4896.330558,2.907834615,0.996831482,dgrp101,NA
noShock dgrp105 - shock dgrp105,0.022411251,0.027451171,4908.525197,0.816404199,1,dgrp105,NA
noShock dgrp109 - shock dgrp109,0.077821947,0.027323194,4896.08078,2.848200944,0.998455975,dgrp109,NA
noShock dgrp129 - shock dgrp129,0.033221911,0.027482353,4895.844979,1.20884521,1,dgrp129,NA
noShock dgrp153 - shock dgrp153,0.061564993,0.028476105,4928.18422,2.161987815,1,dgrp153,NA
noShock dgrp189 - shock dgrp189,0.03989536,0.027454737,4909.273786,1.453132107,1,dgrp189,NA
noShock dgrp195 - shock dgrp195,0.083853128,0.027753876,4904.384309,3.021312331,0.989606022,dgrp195,NA
noShock dgrp208 - shock dgrp208,0.029416591,0.028207888,4868.800476,1.042849812,1,dgrp208,NA
noShock dgrp21 - shock dgrp21,0.105526696,0.027322923,4895.951156,3.862203744,0.429598243,dgrp21,NA
noShock dgrp217 - shock dgrp217,0.099433368,0.029925314,4248.454659,3.32271768,0.904094016,dgrp217,NA
noShock dgrp227 - shock dgrp227,0.109339768,0.027453503,4917.43546,3.9827256,0.321259928,dgrp227,NA
noShock dgrp228 - shock dgrp228,0.029115087,0.027663899,4919.068627,1.052457843,1,dgrp228,NA
noShock dgrp26 - shock dgrp26,-0.024475432,0.027941397,4923.249463,-0.875955897,1,dgrp26,NA
noShock dgrp303 - shock dgrp303,0.1279749,0.028392087,4928.085081,4.507414396,0.057859667,dgrp303,NA
noShock dgrp304 - shock dgrp304,0.037208143,0.027975263,4923.324511,1.330037285,1,dgrp304,NA
noShock dgrp309 - shock dgrp309,0.042706542,0.027482885,4917.373303,1.553932258,1,dgrp309,NA
noShock dgrp31 - shock dgrp31,0.079027556,0.027577566,4913.019409,2.865646547,0.998081184,dgrp31,NA
noShock dgrp310 - shock dgrp310,0.105539849,0.03168921,4906.862211,3.330466376,0.900100643,dgrp310,NA
noShock dgrp313 - shock dgrp313,0.04857004,0.027443172,4917.793724,1.769840591,1,dgrp313,NA
noShock dgrp317 - shock dgrp317,0.021292038,0.027335191,4895.945047,0.778924059,1,dgrp317,NA
noShock dgrp318 - shock dgrp318,0.046850298,0.028461617,4894.904489,1.646087028,1,dgrp318,NA
noShock dgrp319 - shock dgrp319,0.017635555,0.027488081,4822.030539,0.641570982,1,dgrp319,NA
noShock dgrp32 - shock dgrp32,0.062768108,0.027122093,4900.357691,2.314279662,0.999999951,dgrp32,NA
