contrast,estimate,SE,df,t.ratio,p.value,genotype,sex
noShock dgrp100 - shock dgrp100,0.024057647,0.027444046,5026.146303,0.876607166,1,dgrp100,NA
noShock dgrp101 - shock dgrp101,0.080662302,0.02735191,5008.278858,2.949055553,0.995643624,dgrp101,NA
noShock dgrp105 - shock dgrp105,0.022627569,0.027460948,5023.782348,0.823990811,1,dgrp105,NA
noShock dgrp109 - shock dgrp109,0.078410942,0.027329639,5007.941527,2.869080725,0.998296885,dgrp109,NA
noShock dgrp129 - shock dgrp129,0.033929649,0.027487295,5007.907108,1.234375692,1,dgrp129,NA
noShock dgrp153 - shock dgrp153,0.061406985,0.028485649,5043.500917,2.155716558,1,dgrp153,NA
noShock dgrp189 - shock dgrp189,0.039678832,0.027464462,5024.526851,1.444733639,1,dgrp189,NA
noShock dgrp195 - shock dgrp195,0.084311974,0.027762627,5019.536658,3.036887443,0.989308429,dgrp195,NA
noShock dgrp208 - shock dgrp208,0.02947593,0.028216906,4983.649003,1.044619472,1,dgrp208,NA
noShock dgrp21 - shock dgrp21,0.106107261,0.027329378,5007.861016,3.882534808,0.420211293,dgrp21,NA
noShock dgrp217 - shock dgrp217,0.099091565,0.02993423,4352.07914,3.310309454,0.91634507,dgrp217,NA
noShock dgrp227 - shock dgrp227,0.109612853,0.02746327,5032.720302,3.991252831,0.322697475,dgrp227,NA
noShock dgrp228 - shock dgrp228,0.029253216,0.027673827,5034.332342,1.057071561,1,dgrp228,NA
noShock dgrp26 - shock dgrp26,-0.024418545,0.027950821,5038.532154,-0.873625321,1,dgrp26,NA
noShock dgrp303 - shock dgrp303,0.127298796,0.028402033,5043.392479,4.482031063,0.066085708,dgrp303,NA
noShock dgrp304 - shock dgrp304,0.037002555,0.027984229,5038.630771,1.32226459,1,dgrp304,NA
noShock dgrp309 - shock dgrp309,0.042862126,0.027492208,5032.65089,1.559064521,1,dgrp309,NA
noShock dgrp31 - shock dgrp31,0.079390888,0.027586205,5028.204235,2.877919918,0.99809945,dgrp31,NA
noShock dgrp310 - shock dgrp310,0.106375205,0.031696518,5019.893053,3.356053382,0.892410246,dgrp310,NA
noShock dgrp313 - shock dgrp313,0.048881873,0.027452999,5033.04517,1.780565883,1,dgrp313,NA
noShock dgrp317 - shock dgrp317,0.022078079,0.027341628,5007.839943,0.807489562,1,dgrp317,NA
noShock dgrp318 - shock dgrp318,0.047046126,0.02847135,5010.012799,1.652402371,1,dgrp318,NA
noShock dgrp319 - shock dgrp319,0.01785465,0.027497343,4936.351171,0.649322718,1,dgrp319,NA
noShock dgrp32 - shock dgrp32,0.063659251,0.0271281,5012.575816,2.346616631,0.999999921,dgrp32,NA
noShock dgrp321 - shock dgrp321,0.054477091,0.027925686,5030.882039,1.950787911,1,dgrp321,NA
noShock dgrp338 - shock dgrp338,0.03405063,0.027206332,5025.103646,1.251570028,1,dgrp338,NA
