"treatment","genotype","emmean","SE","df","lower.CL","upper.CL"
"1","noShock","dgrp100",0.290219275191963,0.0199761955508571,341.236145548381,0.250927291496012,0.329511258887915
"2","shock","dgrp100",0.266523616107388,0.0199959693308063,345.367081041601,0.227194412858814,0.305852819355962
"3","noShock","dgrp101",0.29424498332057,0.0198586646047128,350.282298734299,0.255187765989348,0.333302200651793
"4","shock","dgrp101",0.214727817083413,0.0202039957280273,373.544053415988,0.17499999364992,0.254455640516905
"5","noShock","dgrp105",0.320987795017977,0.0200065061050459,345.979634903212,0.281638112430972,0.360337477604983
"6","shock","dgrp105",0.298576543928646,0.0199905393817557,342.14957415518,0.259256720383818,0.337896367473474
"7","noShock","dgrp109",0.289211422478283,0.019860911921967,347.496128695859,0.250148699372755,0.328274145583811
"8","shock","dgrp109",0.211389475084074,0.0201791777247313,371.749601896728,0.171709829597779,0.251069120570369
"9","noShock","dgrp129",0.277913800167367,0.0202202658022798,374.964339521448,0.2381544738236,0.317673126511135
"10","shock","dgrp129",0.244691889524513,0.0199881698481521,358.839252390837,0.20538321631221,0.284000562736816
"11","noShock","dgrp153",0.326124567990711,0.0213973618371299,442.99725365229,0.284071617166263,0.368177518815159
"12","shock","dgrp153",0.26455957540375,0.0200179567587609,343.942650759195,0.225186552637744,0.303932598169755
"13","noShock","dgrp189",0.286718360747375,0.0199890153915249,344.84818561673,0.247402626871394,0.326034094623356
"14","shock","dgrp189",0.246823001097162,0.0199904556243096,342.161507092632,0.207503347164199,0.286142655030126
"15","noShock","dgrp195",0.301676290750319,0.0199961665283508,342.593489421853,0.262345579948284,0.341007001552353
"16","shock","dgrp195",0.217823162952416,0.020354652301824,369.161117052994,0.177797553615719,0.257848772289112
"17","noShock","dgrp208",0.302194746555656,0.0203468128739416,362.110108927839,0.262181990140347,0.342207502970965
"18","shock","dgrp208",0.272778155972503,0.0206496455534601,387.515675255073,0.232178793548676,0.313377518396331
"19","noShock","dgrp21",0.314539817467875,0.0198820861571425,351.795800826633,0.275437118813862,0.353642516121888
"20","shock","dgrp21",0.209013121064564,0.0201732280004666,371.413493838501,0.169345057668123,0.248681184461004
"21","noShock","dgrp217",0.232001500730862,0.0226962802159056,430.426419994056,0.187392173139802,0.276610828321921
"22","shock","dgrp217",0.1325681323696,0.0206229428382992,385.674705316694,0.0920206639229026,0.173115600816297
"23","noShock","dgrp227",0.311119103193369,0.0200230031236328,344.191837301986,0.27173625548548,0.350501950901258
"24","shock","dgrp227",0.201779334957792,0.0199724338745518,341.052326237734,0.16249467489443,0.241063995021153
"25","noShock","dgrp228",0.273863071372474,0.0199978867620258,345.421495980931,0.234530118600371,0.313196024144577
"26","shock","dgrp228",0.244747984351315,0.0202887129018296,364.641049257943,0.204850412293573,0.284645556409057
"27","noShock","dgrp26",0.27610561186476,0.0200025688615382,345.707548196666,0.236763564533208,0.315447659196313
"28","shock","dgrp26",0.300581043522084,0.0206544104544012,391.363392856235,0.259973563540956,0.341188523503212
"29","noShock","dgrp303",0.284843248767704,0.0206654275832096,392.00071615387,0.244214313526037,0.325472184009371
"30","shock","dgrp303",0.15686834843891,0.0206281880956194,389.530581777147,0.11631183084063,0.19742486603719
"31","noShock","dgrp304",0.279331360166721,0.0203426535884542,368.193905087513,0.239328999605075,0.319333720728366
"32","shock","dgrp304",0.242123216928883,0.0203391356343469,367.868275691402,0.202127657419118,0.282118776438649
"33","noShock","dgrp309",0.294591546604942,0.0200625116241365,346.64564475343,0.255131976002951,0.334051117206934
"34","shock","dgrp309",0.251885004929467,0.0199776566999664,341.469344534218,0.212590242752436,0.291179767106498
"35","noShock","dgrp31",0.315957497107239,0.019993683040735,342.314022948712,0.276631557292423,0.355283436922054
"36","shock","dgrp31",0.236929941018546,0.0201238210478331,353.554631725243,0.197352494709249,0.276507387327844
"37","noShock","dgrp310",0.318751011545124,0.0225840273499168,554.095904488812,0.274390233526457,0.363111789563791
"38","shock","dgrp310",0.213211162121736,0.0235312300663165,662.749829232974,0.167006418709039,0.259415905534434
"39","noShock","dgrp313",0.274030931537113,0.0199884205100956,344.859458395019,0.234716372239626,0.313345490834599
"40","shock","dgrp313",0.225460891640593,0.0199906503436388,345.013993842749,0.186142008578587,0.264779774702599
"41","noShock","dgrp317",0.284415812605022,0.0202246668032406,374.952273562537,0.244647828381882,0.324183796828163
"42","shock","dgrp317",0.263123774359143,0.0199439712195999,355.852934142053,0.223900908162353,0.302346640555934
"43","noShock","dgrp318",0.290796233143345,0.0213932403746551,442.923685063401,0.248751363235952,0.332841103050739
"44","shock","dgrp318",0.243945934817676,0.0199833303933016,341.675337427905,0.204640097135994,0.283251772499357
"45","noShock","dgrp319",0.265163870735765,0.0200244868532482,305.497990585398,0.225760494965716,0.304567246505814
"46","shock","dgrp319",0.24752831532067,0.0200388028844912,240.481819718768,0.208054325712575,0.287002304928765
"47","noShock","dgrp32",0.28103695827181,0.0198851727918915,349.318077591272,0.241927231439924,0.320146685103695
"48","shock","dgrp32",0.218268849919169,0.0198685728385857,350.924216309936,0.179192393289915,0.257345306548424
"49","noShock","dgrp321",0.270137760241998,0.0206460606277572,387.10793011506,0.229545312208305,0.31073020827569
"50","shock","dgrp321",0.215659834396466,0.0199855619577126,344.729498130132,0.176350845302708,0.254968823490224
"51","noShock","dgrp338",0.292619938835318,0.0198567851608715,347.347213641481,0.25356527378608,0.331674603884556
