DGRP	sex	LSM
DGRP_100	NA	0.023695659
DGRP_101	NA	0.079517166
DGRP_105	NA	0.022411251
DGRP_109	NA	0.077821947
DGRP_129	NA	0.033221911
DGRP_153	NA	0.061564993
DGRP_189	NA	0.03989536
DGRP_195	NA	0.083853128
DGRP_208	NA	0.029416591
DGRP_021	NA	0.105526696
DGRP_217	NA	0.099433368
DGRP_227	NA	0.109339768
DGRP_228	NA	0.029115087
DGRP_026	NA	-0.024475432
DGRP_303	NA	0.1279749
DGRP_304	NA	0.037208143
DGRP_309	NA	0.042706542
DGRP_031	NA	0.079027556
DGRP_310	NA	0.105539849
DGRP_313	NA	0.04857004
DGRP_317	NA	0.021292038
DGRP_318	NA	0.046850298
DGRP_319	NA	0.017635555
DGRP_032	NA	0.062768108
DGRP_321	NA	0.054477926
DGRP_338	NA	0.033063268
DGRP_354	NA	0.031390712
DGRP_362	NA	0.209156825
DGRP_373	NA	0.001017267
DGRP_380	NA	0.001495116
DGRP_382	NA	0.066076916
DGRP_385	NA	2.06420688861388e-05
DGRP_386	NA	0.021771056
DGRP_390	NA	-0.003209602
DGRP_391	NA	0.018335693
DGRP_392	NA	0.030741948
DGRP_395	NA	0.124494967
DGRP_405	NA	0.103242678
DGRP_437	NA	0.001133725
DGRP_440	NA	0.074690798
DGRP_486	NA	0.122783
DGRP_491	NA	0.033841139
DGRP_502	NA	0.007891159
DGRP_505	NA	0.011323747
DGRP_517	NA	0.008850896
DGRP_535	NA	0.112586295
DGRP_551	NA	-0.050461595
DGRP_559	NA	-0.056014387
DGRP_563	NA	0.075005454
DGRP_584	NA	0.016452727
DGRP_059	NA	0.123065174
DGRP_595	NA	0.050462657
DGRP_627	NA	0.020274112
DGRP_705	NA	0.080070238
DGRP_712	NA	0.064295304
DGRP_716	NA	0.014697028
DGRP_721	NA	-0.001370847
DGRP_732	NA	0.039600244
DGRP_737	NA	0.025543416
DGRP_738	NA	0.030326265
DGRP_075	NA	0.099395614
DGRP_765	NA	-0.000244219
DGRP_776	NA	0.017479549
DGRP_786	NA	0.053541453
DGRP_787	NA	0.045560406
DGRP_790	NA	-0.00575033
DGRP_801	NA	0.15052741
DGRP_802	NA	0.048588009
DGRP_804	NA	0.062465342
DGRP_805	NA	0.046584443
DGRP_808	NA	0.122677553
DGRP_818	NA	0.075279947
DGRP_820	NA	-0.04815104
DGRP_821	NA	0.114992103
DGRP_822	NA	0.070315908
DGRP_850	NA	0.001339293
DGRP_853	NA	-0.018479432
DGRP_855	NA	0.057841328
DGRP_859	NA	0.10376244
DGRP_861	NA	0.082399112
DGRP_879	NA	0.139737338
DGRP_884	NA	0.025530581
DGRP_892	NA	0.026054766
DGRP_897	NA	0.086865786
DGRP_091	NA	-0.074537348
DGRP_911	NA	-0.014551758
DGRP_913	NA	0.066518564
DGRP_093	NA	0.07360682
