genotype,treatment,mean,var,color,entropy,resid_entropy,ev,hell_ev,en_r1,en_r2,resid_en_r1,resid_en_r2,MV,hell_rep,MI_rep,mean_r1,mean_r2,var_r1,var_r2,perm.pval_rep
dgrp100,shock,1.45611023251916,0.189685745844929,gold,0.654672834479818,2.07206946931915,NA,NA,0.382382839161016,0.572347002297201,1.99134641341099,1.80650716526167,3.23924830072053,0.14324829839519,0.706991474368337,1.285504630993,1.62671583404532,0.157233111060818,0.173316781177741,0.0319097166405837
dgrp100,noShock,1.61088983797349,0.154383006813102,darkgray,0.519100282304519,2.13057268503408,NA,NA,0.426429930111208,0.61453440076486,2.00755630743784,2.04673853269455,0.261514211855098,0.036516346169719,0.475135269616617,1.55549851347207,1.65935724691224,0.121143157429126,0.188113728780882,0.470121255916677
dgrp100,NA,1.53350003524633,0.175209232560201,black,0.593022271503389,2.12529349306884,0.226471041335526,0.0337920731989739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp208,shock,1.00290361974818,0.362398681513887,gold,0.73655788412712,1.72982013037992,NA,NA,0.838870727880622,0.495011705266836,1.73798344858705,1.80650716526167,3.98332414139366,0.10089913170062,0.759316288744791,1.20764883018901,0.825457770699463,0.554123650346789,0.151286238640301,0.0938504835043241
dgrp208,noShock,1.43037969496098,0.283977599619822,darkgray,0.84209846189305,2.0168404371302,NA,NA,0.79302175559222,0.800190640412065,1.74977898918417,2.06920246582036,3.35174880150602,0.0419489109381807,0.759316288744791,1.37279071890702,1.49619566759408,0.323219217072111,0.251796453748856,0.526876204264864
dgrp208,NA,1.22401193451342,0.362572512253459,black,0.883444919728391,2.07573715494367,0.548629713532966,0.109698165635133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp373,shock,1.13425714326806,0.0732572028668549,gold,0.050366503940105,1.95990085815095,NA,NA,-0.204987958128889,0.320849344130705,1.80371937776887,1.97018144002608,0.23209141892762,0.0826819954968117,0.811641103121246,1.1230060222108,1.14711556733349,0.0544131589663316,0.100301642159296,0.807692653246317
dgrp373,noShock,1.49577453060571,0.0705607826849259,darkgray,0.140611868875399,2.00938485371424,NA,NA,0.178119747015717,0.149951290141475,1.71707598019888,2.10657733323212,0.506744491094647,0.0154597979101317,0.613764705728606,1.46744646701978,1.5281494604182,0.0754462646822944,0.0682350119629911,0.53233764351507
dgrp373,NA,1.31501583693688,0.103917693240903,black,0.331720581155637,2.03257149513205,0.604609539387347,0.238279826754824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp91,shock,1.31563873881432,0.36460248152471,gold,0.658757828934693,1.62607237266118,NA,NA,0.37401372206594,0.91504797162528,2.17618566156031,1.61705315250955,3.54708781445297,0.104012981651892,0.438255058583825,1.10807976081289,1.52319771681576,0.10677613347112,0.556156015367922,0.0597344413287014
