genotype,treatment,mean,var,color,entropy,resid_entropy,ev,hell_ev,en_r1,en_r2,resid_en_r1,resid_en_r2,MV,hell_rep,MI_rep,mean_r1,mean_r2,var_r1,var_r2,perm.pval_rep
dgrp100,shock,0.258976301721598,0.00940819596760483,gold,-0.869946731123457,1.95990085815094,NA,NA,-0.912203251831195,-0.815458236648103,1.93380999892063,1.71408754118701,0.918312570896268,0.0235876946413693,0.620686852632802,0.25963715957402,0.258315443869175,0.00856177379907729,0.0109256962771732,0.970231649219088
dgrp100,noShock,0.299385444290104,0.00766458710951835,darkgray,-0.949866750881185,2.0640170503921,NA,NA,-0.971663028351665,-0.970951739408247,1.97018144002608,2.18732231884925,0.566990363213387,0.0304347497850856,0.586707045273722,0.300064943264842,0.298790882687208,0.00860766358138483,0.00735741863320279,0.968279889492288
dgrp100,NA,0.279180873005851,0.00880685069971865,black,-0.889390454701118,2.12554797484631,0.146023436202644,0.0337597168079785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp208,shock,0.259224616178558,0.0170346542026627,gold,-0.627792808222459,2.26724451740892,NA,NA,-0.59651502634629,-0.617910084825134,1.81848316301237,2.21106887114461,0.836248024200619,0.000858873197782328,0.516037223879892,0.257128112501613,0.26104158603191,0.0184026235049554,0.0170712515329308,0.936930255933024
dgrp208,noShock,0.314428245817744,0.00705338534739235,darkgray,-1.0703519979235,1.84102040913251,NA,NA,-0.974279841501125,-1.16119623569491,1.63475892444401,1.97018144002608,3.50272912530265,0.0312216631960636,0.863965917497701,0.320821506902335,0.307121661721068,0.00921634464002889,0.00499243219084214,0.655786085308494
dgrp208,NA,0.287778217716068,0.0124319155610919,black,-0.758503809323787,1.95260314854005,2.4806993882116,0.128868580467346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp373,shock,0.287634408602151,0.0147008403541093,gold,-0.655397023999466,2.00707747141285,NA,NA,-0.782916466814765,-0.571957525934804,2.13338193026454,1.80951425584928,1.64230384958129,0.0497191721795573,0.509115076975697,0.304851510496672,0.267957720722698,0.0104407252810041,0.0199654019114686,0.405709265582327
dgrp373,noShock,0.315702338282983,0.00859007356952391,darkgray,-0.903338731480613,2.07765103514652,NA,NA,-0.908514178930042,-0.982863157501004,2.00970918189415,2.10657733323212,0.880713014685823,0.0332093347567181,0.64082236618349,0.301203277009729,0.332272694023846,0.00948248597109737,0.00766670814258007,0.359664051071123
dgrp373,NA,0.301668373442567,0.0116483666768455,black,-0.771683950174816,2.05982000161964,0.417598855126261,0.0419954095632404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp91,shock,0.376558520188734,0.0287210067116654,gold,-0.362134560162082,2.03524884314692,NA,NA,-0.290054759397197,-0.458977942756855,1.78385396035562,1.93380999892063,1.17201483598897,0.0333342279744689,0.673011667009257,0.415566411958746,0.337550628418723,0.0323542968641819,0.0238786121378231,0.207415359193886
dgrp91,noShock,0.32426823666959,0.0160239350591668,darkgray,-0.611548385855057,2.00841805248967,NA,NA,-0.587926282937653,-0.741682831213365,1.85942881514923,1.84139037484597,1.42187719798343,0.0409680353984129,0.83869876357613,0.347371497766086,0.301164975573093,0.0175010873488374,0.0145475766880949,0.317478406939923
dgrp91,NA,0.350413378429162,0.0226884308069801,black,-0.497312163663352,2.05774697372165,1.58133216490119,0.0460275707042634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp195,shock,0.207143562889043,0.0147387327103411,gold,-0.72847084566479,2.08832515148143,NA,NA,-0.629868156487084,-1.0249459197172,1.89431202473353,1.90853528164356,2.18819804531432,0.117140568958208,0.666089520105061,0.192880090301294,0.222425854947345,0.0222627990616535,0.00728338084343894,0.512531343520978
dgrp195,noShock,0.30895632543197,0.00659018708332033,darkgray,-1.05475275350041,2.22008809129624,NA,NA,-0.925948143265944,-1.11867796707069,2.10657733323212,2.01403552370927,2.75875328120665,0.0205857145041906,0.527460083993072,0.316907304729654,0.301999218546496,0.00829419296753496,0.00544209616358599,0.615803541067176
dgrp195,NA,0.258912764182057,0.0130457265147593,black,-0.751012835571708,2.17553962697656,0.264633371895761,0.175621919382557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp228,shock,0.232813312532501,0.0165137649133917,gold,-0.808709210019617,1.98061664646907,NA,NA,-0.725702690522681,-0.92338037523415,1.96869320850494,1.76700919107457,1.78603752745405,0.0296109371699738,0.482057416520813,0.225628358467672,0.239998266597331,0.0174227439840233,0.0166737185546159,0.759422102289264
dgrp228,noShock,0.286059109031028,0.0111376372392509,darkgray,-0.824116579144322,1.8533138128101,NA,NA,-0.816061022847111,-0.964280741575378,1.80650716526167,1.95646320382668,0.269406669846886,0.0760738426827489,0.620686852632802,0.291913676547062,0.280204541514994,0.0140390207020509,0.00895835080611208,0.76124234726273
dgrp228,NA,0.259436210781765,0.0143121590694589,black,-0.734274478471911,2.0033192229218,1.0825103935918,0.0909242762300211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp595,shock,0.234560380211709,0.00748394807854281,gold,-0.983287027844954,2.17387827925891,NA,NA,-1.09912234609524,-1.00825376605093,1.84139037484597,1.95646320382669,1.82092073703835,0.0863582462225474,0.482057416520813,0.198798876647224,0.270321883776194,0.0062478035996323,0.00651419212622212,0.0235630254340264
dgrp595,noShock,0.30548282566429,0.00614082698781126,darkgray,-1.06999775398319,2.06305024916753,NA,NA,-1.1536405730523,-0.974640500894138,1.85942881514923,1.96869320850494,1.34319344613619,0.0186127923800909,0.188053846814731,0.301888096781162,0.309077554547418,0.0050376062528635,0.00765498805958155,0.801617579289053
dgrp595,NA,0.270021602938,0.0079757351857438,black,-0.949756780664743,2.21617531673153,0.342530361781433,0.0791673195180671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp705,shock,0.181440995401276,0.03182166037284,gold,-0.752252185372858,1.65650673242444,NA,NA,-0.875949130982387,-0.875289992234298,1.95125950414396,1.39539709232679,2.19152950331099,0.150920588118175,0.745471994936401,0.180915009186037,0.181896850121149,0.0157848584775579,0.0478399867631157,0.988411084470355
dgrp705,noShock,0.266281585323641,0.0158190698206307,darkgray,-0.640435351211807,2.01549985605337,NA,NA,-0.610090783582456,-0.837146335201891,1.90542004311014,1.99150936135661,4.74802150955079,0.0665257985840969,0.916290731874155,0.251588174210494,0.285496046010065,0.0183844099742199,0.0130110571754402,0.464338823353921
dgrp705,NA,0.225324059154224,0.0249505907951613,black,-0.5614110603187,1.97504804484056,0.721104508682186,0.133959545725584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp75,shock,0.24074794638997,0.0175849464638535,gold,-0.659378994274233,2.19362726635246,NA,NA,-0.599472287697839,-0.762619386895614,1.84688912326104,2.01403552370927,2.91942046538346,0.0452791916407633,0.448077609161734,0.220798591810265,0.258203631647211,0.0227505106792454,0.0135839945988472,0.44084519179739
dgrp75,noShock,0.364111543450065,0.016127455530664,darkgray,-0.590534816380033,2.054627864527,NA,NA,-0.389951378600003,-1.05718828793696,1.98133251472398,1.90853528164356,2.3743115928383,0.156464037429908,0.700069327464141,0.378015564202335,0.348221234018899,0.0253214274699536,0.00624974019824812,0.521468930227863
dgrp75,NA,0.302429744920017,0.0204396324412727,black,-0.532630261933429,2.18831175442818,0.904072140606578,0.100638641108358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp820,shock,0.2988375623509,0.014596135674309,gold,-0.68371734996976,2.13899506967461,NA,NA,-0.641071482081387,-0.666577736076146,2.20559835902639,2.06797591229398,0.85686218575669,0.00812789161927818,0.32668328292672,0.287675434519937,0.308604424202993,0.0157624803513147,0.0143403414115238,0.635955473199228
dgrp820,noShock,0.272374756018217,0.00717205296302436,darkgray,-0.98763319193242,2.06305024916753,NA,NA,-1.06174134813237,-1.12911779769036,2.02622962299529,1.99134641341099,2.81791705978186,0.12925758262419,0.561439891352152,0.309303838646714,0.23544567338972,0.00652510376539095,0.00540895492134016,0.0169218266786575
