genotype X 2L 2R 3L 3R
RAL_21 1,597(1.73) 1,562(1.06) 1,387(1.09) 1,286(0.84) 2,132(1.51)
RAL_26 1,466(1.67) 2,086(1.10) 1,603(1.24) 1,624(1.07) 1,322(0.94)
RAL_28 1,151(1.29) 1,453(1.00) 1,862(1.27) 1,320(0.88) 1,086(0.79)
RAL_38 2,270(2.36) 2,228(1.45) 2,210(1.69) 8,497(5.29) 179,070(71.58)
RAL_40 2,787(2.86) 2,596(1.65) 2,307(1.77) 2,930(1.85) 2,151(1.46)
RAL_41 1,721(1.94) 1,506(0.99) 1,528(1.23) 4,136(2.74) 13,755(9.82)
RAL_42 2,003(2.20) 1,356(0.91) 1,456(1.16) 1,750(1.15) 1,261(0.88)
RAL_45 1,121(1.25) 1,319(0.91) 1,404(1.12) 1,529(1.03) 1,300(0.91)
RAL_49 6,982(8.55) 11,876(8.86) 11,012(9.40) 12,953(9.36) 13,257(9.89)
RAL_57 2,433(2.65) 2,115(1.46) 2,294(1.82) 1,996(1.32) 1,825(1.29)
RAL_59 1,447(1.71) 1,333(0.94) 1,561(1.31) 4,561(3.10) 22,064(15.43)
RAL_69 1,205(1.35) 1,340(0.90) 1,874(1.28) 26,736(17.12) 19,268(13.24)
RAL_73 1,231(1.49) 1,325(0.98) 1,570(1.27) 1,418(1.00) 1,513(1.09)
RAL_75 1,889(2.11) 1,429(0.97) 1,414(1.12) 1,445(0.97) 1,229(0.89)
RAL_83 1,118(1.30) 1,235(0.86) 1,334(1.03) 1,386(0.92) 1,227(0.89)
RAL_85 1,341(1.55) 137,719(63.94) 16,823(12.99) 1,593(1.11) 1,490(1.05)
RAL_88 1,218(1.35) 152,488(66.62) 8,132(6.28) 10,057(6.57) 18,556(12.32)
RAL_91 1,384(1.60) 1,487(1.07) 1,569(1.31) 1,611(1.12) 1,564(1.16)
RAL_93 1,085(1.22) 2,042(1.06) 1,576(1.21) 1,325(0.88) 1,304(0.94)
RAL_101 938(1.09) 138,361(64.01) 18,474(14.35) 1,076(0.73) 1,047(0.74)
RAL_105 1,165(1.32) 1,351(0.91) 1,303(1.05) 1,527(1.01) 2,024(1.20)
RAL_109 762(0.92) 103,355(56.10) 4,549(3.86) 737(0.53) 741(0.55)
RAL_129 876(0.98) 866(0.59) 972(0.78) 1,268(0.83) 888(0.62)
RAL_136 1,197(1.38) 1,457(1.02) 1,381(1.09) 146,018(64.64) 157,757(67.9)
RAL_138 2,336(2.54) 1,864(1.25) 9,085(7.08) 1,979(1.36) 2,781(1.56)
RAL_142 2,010(2.18) 5,265(3.68) 32,573(23.17) 1,504(1.01) 1,462(1.07)
RAL_149 833(0.97) 945(0.65) 1,215(0.97) 7,302(4.99) 17,626(12.24)
RAL_153 743(1.01) 731(0.65) 896(0.85) 750(0.64) 714(0.59)
RAL_158 715(0.85) 1,159(0.83) 963(0.79) 783(0.57) 814(0.61)
RAL_161 1,165(1.35) 1,747(0.93) 1,173(0.96) 1,302(0.90) 1,045(0.76)
RAL_176 2,621(2.92) 2,442(1.65) 2,679(2.08) 2,602(1.72) 2,479(1.69)
RAL_177 2,480(2.61) 1,845(1.19) 2,006(1.55) 2,173(1.42) 1,641(1.17)
RAL_181 1,857(1.97) 2,024(1.34) 1,952(1.49) 1,849(1.21) 2,471(1.66)
RAL_195 1,143(1.30) 1,333(0.92) 1,444(1.16) 1,158(0.80) 1,292(0.95)
RAL_208 3,471(3.78) 3,596(2.45) 3,490(2.76) 4,125(2.58) 3,531(2.38)
RAL_217 1,258(1.49) 1,135(0.79) 1,312(1.05) 1,241(0.86) 4,867(3.46)
