"treatment","genotype","emmean","SE","df","lower.CL","upper.CL"
"1","noShock","dgrp227",0.285531571109496,0.0210934644003709,69.4270119983464,0.243455877822289,0.327607264396703
"2","shock","dgrp227",0.266063052766164,0.0204231019709301,40.1682939181412,0.224791810369018,0.307334295163309
"3","noShock","dgrp26",0.257535355472181,0.0202395222899859,59.2639419524218,0.217039938516936,0.298030772427427
"4","shock","dgrp26",0.257640974140269,0.0204152116101029,49.1513403412593,0.216618265421301,0.298663682859238
"5","noShock","dgrp309",0.265367280672565,0.0201765024215053,58.0315827397528,0.224980090990779,0.305754470354351
"6","shock","dgrp309",0.223346807842994,0.0202700981007805,46.7100467625029,0.182561947246574,0.264131668439413
"7","noShock","dgrp362",0.272334661667294,0.0206216380109321,63.486728912375,0.23113178845756,0.313537534877028
"8","shock","dgrp362",0.179269503114536,0.0212953943733825,58.6037053324562,0.136651487423611,0.221887518805462
"9","noShock","dgrp405",0.258478727097118,0.021069860834633,68.9879788977614,0.216445374162199,0.300512080032036
"10","shock","dgrp405",0.189335794112294,0.0203913499399338,48.8440659932976,0.14835453290474,0.230317055319848
"11","noShock","dgrp437",0.254573009737774,0.020381666867771,59.5524695947651,0.213797303406908,0.295348716068641
"12","shock","dgrp437",0.238154621937776,0.0203648937026373,44.9946434815418,0.197137485743152,0.2791717581324
"13","noShock","dgrp627",0.277927199506404,0.020353135708889,60.5914112935181,0.237223038126188,0.31863136088662
"14","shock","dgrp627",0.266971467493039,0.0207546206868965,48.7081707452256,0.225257173990796,0.308685760995283
"15","noShock","dgrp732",0.26729686352013,0.0206627613687236,62.3295700223686,0.225996936012347,0.308596791027913
"16","shock","dgrp732",0.188916394982393,0.0205225054601567,50.2681778693142,0.147701177618632,0.230131612346154
"17","noShock","dgrp737",0.265584467738221,0.0203588816961628,59.8152528325756,0.224858053817554,0.306310881658888
"18","shock","dgrp737",0.172402682015496,0.0205869422457413,45.2852801261733,0.13094566019196,0.213859703839032
"19","noShock","dgrp786",0.248463517091062,0.0206068771807156,63.4624109699103,0.207289830265067,0.289637203917056
"20","shock","dgrp786",0.225415218164984,0.0202953442447771,43.267191459485,0.18449306387465,0.266337372455318
"21","noShock","dgrp855",0.253441208124001,0.0206589094778796,63.9296245397928,0.212169417032492,0.294712999215511
"22","shock","dgrp855",0.232513041326019,0.0208512901993193,51.4028657470392,0.190660293855805,0.274365788796234
"23","noShock","dgrp91",0.204722554291875,0.021321138072796,69.8151382101275,0.162196905587338,0.247248202996412
"24","shock","dgrp91",0.193818325945258,0.0206071497626731,47.3871956258687,0.152371027701051,0.235265624189465
"25","noShock","dnc1",0.243159489314162,0.0205950769089846,63.1428681372942,0.202005334477831,0.284313644150493
"26","shock","dnc1",0.20119936185468,0.0206264619731593,47.8373298815834,0.159723436898557,0.242675286810803
"27","noShock","ee5",0.257562500240972,0.0205277759983543,60.7211695280743,0.216510862767235,0.29861413771471
"28","shock","ee5",0.237718695971354,0.0202609113703878,47.6478141321246,0.196973623079851,0.278463768862857
