contrast,estimate,SE,df,t.ratio,p.value,genotype,sex
noShock dgrp100 - shock dgrp100,0.031192872,0.021814789,5037.252816,1.429895673,1,dgrp100,NA
noShock dgrp101 - shock dgrp101,0.063758128,0.021672624,4976.58258,2.941873963,0.995369207,dgrp101,NA
noShock dgrp105 - shock dgrp105,0.02701777,0.021811753,5037.52028,1.238679419,1,dgrp105,NA
noShock dgrp109 - shock dgrp109,0.057610318,0.021666549,4982.498188,2.65895219,0.999904741,dgrp109,NA
noShock dgrp129 - shock dgrp129,0.008165874,0.021820147,4974.325459,0.37423552,1,dgrp129,NA
noShock dgrp153 - shock dgrp153,0.057058068,0.022003675,5038.027882,2.593115412,0.999970541,dgrp153,NA
noShock dgrp189 - shock dgrp189,0.024299738,0.021825223,5037.490681,1.113378693,1,dgrp189,NA
noShock dgrp195 - shock dgrp195,0.015384947,0.022137241,5031.604126,0.694980315,1,dgrp195,NA
noShock dgrp208 - shock dgrp208,-0.008877193,0.022214393,5034.361242,-0.39961448,1,dgrp208,NA
noShock dgrp21 - shock dgrp21,0.098395639,0.021806645,4975.585604,4.512185941,0.056792558,dgrp21,NA
noShock dgrp217 - shock dgrp217,0.047833059,0.022627428,5013.917503,2.113941472,1,dgrp217,NA
noShock dgrp227 - shock dgrp227,0.068470559,0.021825294,5037.318461,3.137211381,0.971809422,dgrp227,NA
noShock dgrp228 - shock dgrp228,0.016993018,0.021825088,5034.991955,0.778600204,1,dgrp228,NA
noShock dgrp26 - shock dgrp26,-0.012146097,0.022033865,5037.471644,-0.551246797,1,dgrp26,NA
noShock dgrp303 - shock dgrp303,0.028820221,0.022485682,5037.88501,1.281714368,1,dgrp303,NA
noShock dgrp304 - shock dgrp304,0.050822345,0.021829418,5037.715605,2.328158454,0.999999929,dgrp304,NA
noShock dgrp309 - shock dgrp309,0.038547752,0.02182056,5037.8347,1.766579445,1,dgrp309,NA
noShock dgrp31 - shock dgrp31,0.047558775,0.021852776,5037.708234,2.176326422,0.999999999,dgrp31,NA
noShock dgrp310 - shock dgrp310,-0.022939279,0.022703194,4972.058622,-1.010398738,1,dgrp310,NA
noShock dgrp313 - shock dgrp313,0.061713255,0.021855946,5037.479314,2.823636881,0.998876983,dgrp313,NA
noShock dgrp317 - shock dgrp317,-0.022861555,0.021752638,4980.179848,-1.050978474,1,dgrp317,NA
noShock dgrp318 - shock dgrp318,0.03677165,0.021816969,5032.022523,1.685460959,1,dgrp318,NA
noShock dgrp319 - shock dgrp319,0.001241225,0.021815706,5009.833676,0.056895938,1,dgrp319,NA
noShock dgrp32 - shock dgrp32,0.037453264,0.021692389,4981.798234,1.72656247,1,dgrp32,NA
noShock dgrp321 - shock dgrp321,0.03406591,0.021828309,5037.686019,1.560629838,1,dgrp321,NA
noShock dgrp338 - shock dgrp338,0.010591567,0.021719126,4995.427257,0.487660832,1,dgrp338,NA
noShock dgrp354 - shock dgrp354,0.038417268,0.021892386,3392.739385,1.754823223,1,dgrp354,NA
noShock dgrp362 - shock dgrp362,0.119943493,0.022458647,5038.727059,5.340637535,0.001262864,dgrp362,NA
noShock dgrp373 - shock dgrp373,0.031937676,0.021820839,5037.309762,1.463631876,1,dgrp373,NA
noShock dgrp380 - shock dgrp380,0.020087382,0.021807024,4987.424707,0.921142782,1,dgrp380,NA
noShock dgrp382 - shock dgrp382,0.039530249,0.022005847,5037.985522,1.796352038,1,dgrp382,NA
noShock dgrp385 - shock dgrp385,-0.013465283,0.022034578,5036.652898,-0.611097835,1,dgrp385,NA
noShock dgrp386 - shock dgrp386,0.015063683,0.021835821,5037.53469,0.689861081,1,dgrp386,NA
noShock dgrp390 - shock dgrp390,-0.013238459,0.02220092,5033.684562,-0.596302248,1,dgrp390,NA
noShock dgrp391 - shock dgrp391,0.035027974,0.022413055,5027.940222,1.562837989,1,dgrp391,NA
noShock dgrp392 - shock dgrp392,0.001450243,0.021672011,4979.805985,0.066917782,1,dgrp392,NA
noShock dgrp395 - shock dgrp395,0.089974621,0.022261584,5038.493758,4.041698985,0.274367336,dgrp395,NA
noShock dgrp405 - shock dgrp405,0.069640014,0.021855546,5031.738513,3.186377183,0.959363047,dgrp405,NA
noShock dgrp437 - shock dgrp437,0.013462634,0.021844954,5032.446092,0.616281187,1,dgrp437,NA
noShock dgrp440 - shock dgrp440,0.034746993,0.021838762,5037.608732,1.591069748,1,dgrp440,NA
noShock dgrp486 - shock dgrp486,0.099728006,0.021850614,5038.002199,4.564082563,0.046307062,dgrp486,NA
noShock dgrp491 - shock dgrp491,0.017086543,0.021658249,4981.278019,0.788916171,1,dgrp491,NA
noShock dgrp502 - shock dgrp502,0.034925847,0.021627292,4975.489178,1.614896924,1,dgrp502,NA
noShock dgrp505 - shock dgrp505,0.00989511,0.021624071,4975.785511,0.457596976,1,dgrp505,NA
noShock dgrp517 - shock dgrp517,0.009238212,0.021835289,5037.793328,0.42308632,1,dgrp517,NA
noShock dgrp535 - shock dgrp535,0.075516182,0.021843237,4977.612593,3.457188262,0.816428201,dgrp535,NA
noShock dgrp551 - shock dgrp551,-0.012134657,0.02184538,5037.52873,-0.555479336,1,dgrp551,NA
noShock dgrp559 - shock dgrp559,-0.010433212,0.021874704,5037.71431,-0.47695328,1,dgrp559,NA
noShock dgrp563 - shock dgrp563,0.053967628,0.021858624,5009.06712,2.468939837,0.999997684,dgrp563,NA
noShock dgrp584 - shock dgrp584,0.02628127,0.022031447,5038.154624,1.192898078,1,dgrp584,NA
noShock dgrp59 - shock dgrp59,0.077463476,0.021997789,5036.869978,3.52142098,0.763446731,dgrp59,NA
noShock dgrp595 - shock dgrp595,0.038519998,0.021844716,5037.528611,1.763355424,1,dgrp595,NA
noShock dgrp627 - shock dgrp627,0.031118997,0.021871625,5031.804252,1.422802254,1,dgrp627,NA
noShock dgrp705 - shock dgrp705,0.070297272,0.022250597,4962.219353,3.159343196,0.966621874,dgrp705,NA
noShock dgrp712 - shock dgrp712,0.042283265,0.021658897,4979.425205,1.952235382,1,dgrp712,NA
noShock dgrp716 - shock dgrp716,-0.023351514,0.021704937,4981.048316,-1.075861891,1,dgrp716,NA
noShock dgrp721 - shock dgrp721,0.000537854,0.021815144,5009.425242,0.024655083,1,dgrp721,NA
noShock dgrp732 - shock dgrp732,0.025864648,0.022035232,5036.683506,1.173786024,1,dgrp732,NA
noShock dgrp737 - shock dgrp737,-0.003262898,0.021994166,5036.888774,-0.148352888,1,dgrp737,NA
noShock dgrp738 - shock dgrp738,0.012416163,0.021837319,5037.503971,0.568575439,1,dgrp738,NA
noShock dgrp75 - shock dgrp75,0.058657937,0.021854006,5034.611196,2.684081628,0.999855443,dgrp75,NA
noShock dgrp765 - shock dgrp765,-0.021885422,0.021814562,5032.501767,-1.003248254,1,dgrp765,NA
noShock dgrp776 - shock dgrp776,0.007214607,0.021828104,5037.493993,0.330519196,1,dgrp776,NA
noShock dgrp786 - shock dgrp786,0.0445737,0.022200101,5038.102996,2.007815198,1,dgrp786,NA
noShock dgrp787 - shock dgrp787,0.026689127,0.021826231,5037.521534,1.222800529,1,dgrp787,NA
noShock dgrp790 - shock dgrp790,-0.023236782,0.021883101,5032.39371,-1.061859636,1,dgrp790,NA
noShock dgrp801 - shock dgrp801,0.036414271,0.02193375,5007.431397,1.660193571,1,dgrp801,NA
noShock dgrp802 - shock dgrp802,0.010693723,0.021838003,5032.183542,0.489684097,1,dgrp802,NA
noShock dgrp804 - shock dgrp804,0.054387029,0.021820191,4987.07099,2.492509276,0.999996109,dgrp804,NA
noShock dgrp805 - shock dgrp805,0.03599355,0.021862954,5038.058644,1.646326036,1,dgrp805,NA
noShock dgrp808 - shock dgrp808,0.093188477,0.021844448,5038.171082,4.266002936,0.1382771,dgrp808,NA
noShock dgrp818 - shock dgrp818,0.056593224,0.021887371,5037.25984,2.585656588,0.999974394,dgrp818,NA
noShock dgrp820 - shock dgrp820,0.002022871,0.021820258,5037.083438,0.092706088,1,dgrp820,NA
noShock dgrp821 - shock dgrp821,0.071412688,0.021631264,4975.261389,3.301364538,0.915091945,dgrp821,NA
noShock dgrp822 - shock dgrp822,0.038232578,0.02185276,5032.735685,1.749553709,1,dgrp822,NA
noShock dgrp850 - shock dgrp850,0.00298401,0.021860256,5037.531133,0.136503907,1,dgrp850,NA
noShock dgrp853 - shock dgrp853,-0.021889491,0.021829365,5037.215714,-1.002754402,1,dgrp853,NA
noShock dgrp855 - shock dgrp855,0.050275716,0.021858674,5037.733578,2.300035074,0.999999967,dgrp855,NA
noShock dgrp859 - shock dgrp859,0.022285891,0.022497669,5038.196857,0.990586681,1,dgrp859,NA
noShock dgrp861 - shock dgrp861,0.038120917,0.021873923,4988.366047,1.742756249,1,dgrp861,NA
noShock dgrp879 - shock dgrp879,0.101222619,0.021887777,5038.224965,4.624618556,0.036262531,dgrp879,NA
noShock dgrp884 - shock dgrp884,0.013222315,0.021618373,4980.643699,0.611623952,1,dgrp884,NA
noShock dgrp892 - shock dgrp892,-0.002912853,0.021839814,5037.749166,-0.133373529,1,dgrp892,NA
noShock dgrp897 - shock dgrp897,0.024770061,0.022223307,5033.910206,1.114598331,1,dgrp897,NA
noShock dgrp91 - shock dgrp91,-0.018539631,0.021842146,5036.902383,-0.84880081,1,dgrp91,NA
noShock dgrp911 - shock dgrp911,-0.025208943,0.021835802,5037.549154,-1.154477548,1,dgrp911,NA
noShock dgrp913 - shock dgrp913,0.04324325,0.021857989,5038.268969,1.978372807,1,dgrp913,NA
noShock dgrp93 - shock dgrp93,0.044185411,0.02185142,5038.24675,2.022084171,1,dgrp93,NA
