treatment,genotype,emmean,SE,df,lower.CL,upper.CL
noShock,dgrp100,0.290279711,0.01997254,348.8280431,0.25099796,0.329561462
shock,dgrp100,0.266222064,0.019991642,353.0078264,0.226904364,0.305539764
noShock,dgrp101,0.29447029,0.019853812,358.0866649,0.255425566,0.333515014
shock,dgrp101,0.213807988,0.020199021,381.8688549,0.174092761,0.253523215
noShock,dgrp105,0.321014609,0.020001857,353.6135107,0.281677052,0.360352166
shock,dgrp105,0.29838704,0.01998678,349.7530794,0.259077645,0.337696435
noShock,dgrp109,0.289547929,0.019856461,355.2852661,0.250496952,0.328598907
shock,dgrp109,0.211136988,0.020174355,380.0530621,0.171469656,0.250804319
noShock,dgrp129,0.278051564,0.020214909,383.2790595,0.238305563,0.317797565
shock,dgrp129,0.244121915,0.01998396,366.8420568,0.204824422,0.283419408
noShock,dgrp153,0.326318808,0.021393576,452.8738557,0.284275809,0.368361807
shock,dgrp153,0.264911823,0.020012996,351.5122418,0.225551551,0.304272095
noShock,dgrp189,0.286720706,0.019985123,352.5062253,0.247415635,0.326025777
shock,dgrp189,0.247041874,0.019987208,349.8016457,0.207731656,0.286352092
noShock,dgrp195,0.301604699,0.019991931,350.177185,0.262285337,0.340924061
shock,dgrp195,0.217292726,0.02035156,377.4098835,0.177276073,0.257309378
noShock,dgrp208,0.302436797,0.020341998,370.0973315,0.262436404,0.342437191
shock,dgrp208,0.272960867,0.020646374,396.1739484,0.232370717,0.313551018
noShock,dgrp21,0.314896257,0.019876431,359.5789405,0.275807602,0.353984912
shock,dgrp21,0.208788996,0.020168304,379.7060321,0.169133446,0.248444546
noShock,dgrp217,0.231571266,0.022691467,440.0329519,0.186974145,0.276168387
shock,dgrp217,0.132479701,0.020620274,394.3293793,0.091940281,0.17301912
noShock,dgrp227,0.311187861,0.020017796,351.7520657,0.271818239,0.350557482
shock,dgrp227,0.201575007,0.019968926,348.649786,0.162300295,0.240849719
noShock,dgrp228,0.273726052,0.019993353,353.0528535,0.234405004,0.3130471
shock,dgrp228,0.244472836,0.020285123,372.7622849,0.204585217,0.284360455
noShock,dgrp26,0.2763177,0.019998386,353.3654479,0.236986874,0.315648525
shock,dgrp26,0.300736245,0.0206508,400.0820557,0.260138608,0.341333882
noShock,dgrp303,0.284395372,0.020660311,400.63305,0.243779207,0.325011537
shock,dgrp303,0.157096577,0.020625053,398.2413523,0.116548986,0.197644167
noShock,dgrp304,0.279095372,0.020337533,376.2889906,0.239105918,0.319084826
shock,dgrp304,0.242092817,0.020336253,376.1055011,0.202105818,0.282079817
noShock,dgrp309,0.29472587,0.02005685,354.2352026,0.255280396,0.334171345
shock,dgrp309,0.251863744,0.019974123,349.073524,0.212578976,0.291148512
noShock,dgrp31,0.316075309,0.019989539,349.8960601,0.276760542,0.355390076
shock,dgrp31,0.236684421,0.020120727,361.4514814,0.197116028,0.276252814
noShock,dgrp310,0.318902852,0.022578236,566.4455806,0.274555567,0.363250137
shock,dgrp310,0.212527647,0.023527042,677.6688468,0.166332987,0.258722306
noShock,dgrp313,0.274244289,0.019984596,352.5189842,0.234940259,0.31354832
shock,dgrp313,0.225362416,0.019986945,352.6871533,0.186053831,0.264671001
noShock,dgrp317,0.284684063,0.020221039,383.4306872,0.244926059,0.324442066
shock,dgrp317,0.262605984,0.019939712,363.7994351,0.223394416,0.301817551
noShock,dgrp318,0.290799303,0.021388605,452.7250457,0.248766036,0.332832569
shock,dgrp318,0.243753176,0.01997928,349.255929,0.204458338,0.283048015
noShock,dgrp319,0.265095368,0.02001938,312.2121218,0.225705412,0.304485325
shock,dgrp319,0.247240719,0.020034452,245.8004367,0.207779618,0.286701819
noShock,dgrp32,0.281467285,0.019879606,357.0391546,0.242371446,0.320563124
shock,dgrp32,0.217808034,0.019864124,358.7738663,0.178743285,0.256872783
noShock,dgrp321,0.270275168,0.02064227,395.7183121,0.229692942,0.310857393
shock,dgrp321,0.215798076,0.019981383,352.3651517,0.176500307,0.255095845
noShock,dgrp338,0.292957246,0.019852393,355.1511039,0.253914219,0.332000272
shock,dgrp338,0.258906616,0.020025138,366.0662194,0.219527872,0.29828536
noShock,dgrp354,0.311910333,0.022621172,561.1734546,0.26747782,0.356342845
shock,dgrp354,0.280660247,0.020705205,237.3632971,0.239870817,0.321449677
noShock,dgrp362,0.330341511,0.021852172,494.6944737,0.287406999,0.373276024
shock,dgrp362,0.121259495,0.020717303,401.3469844,0.080531508,0.161987482
noShock,dgrp373,0.298521145,0.020009542,351.3045225,0.259167584,0.337874705
shock,dgrp373,0.297291754,0.019986421,349.8171793,0.257983089,0.33660042
noShock,dgrp380,0.276282047,0.020866513,424.1924437,0.235267411,0.317296683
shock,dgrp380,0.274050982,0.020496564,404.959598,0.233758031,0.314343932
noShock,dgrp382,0.300255606,0.020304188,373.890961,0.260330891,0.34018032
shock,dgrp382,0.234088999,0.020297337,373.5483192,0.194177638,0.274000361
noShock,dgrp385,0.300059306,0.0199786,352.1034496,0.26076691,0.339351702
shock,dgrp385,0.300394632,0.020387922,373.5043643,0.260305134,0.34048413
noShock,dgrp386,0.302658987,0.020010441,354.1344441,0.263304748,0.342013227
shock,dgrp386,0.280981967,0.019996342,350.4190252,0.241654024,0.32030991
noShock,dgrp390,0.254917013,0.020636437,384.7120197,0.214342693,0.295491332
shock,dgrp390,0.258326681,0.020297838,373.6105942,0.218414356,0.298239006
noShock,dgrp391,0.288847635,0.021769357,426.5984977,0.246059083,0.331636187
shock,dgrp391,0.269819816,0.020668808,397.5634406,0.229185995,0.310453637
noShock,dgrp392,0.290613572,0.019893738,360.7710165,0.251491317,0.329735828
shock,dgrp392,0.258834848,0.020012075,365.8236089,0.219481706,0.29818799
noShock,dgrp395,0.32064682,0.020003167,350.8346875,0.281305616,0.359988025
shock,dgrp395,0.196324438,0.020757559,407.5626688,0.155519195,0.237129682
noShock,dgrp405,0.292492743,0.020343458,370.015155,0.25248945,0.332496036
shock,dgrp405,0.188769777,0.019968066,348.5816784,0.149496728,0.228042825
noShock,dgrp437,0.288095025,0.02002049,351.9223362,0.248720171,0.327469878
shock,dgrp437,0.287157515,0.019982461,349.5223675,0.247856524,0.326458506
noShock,dgrp440,0.298559636,0.020303252,373.8768834,0.258636757,0.338482514
shock,dgrp440,0.22372556,0.019992439,349.9770814,0.184405121,0.263045999
noShock,dgrp486,0.278131954,0.020337642,369.8324191,0.238140032,0.318123876
shock,dgrp486,0.154934934,0.020000701,350.7239766,0.115598536,0.194271331
noShock,dgrp491,0.260496636,0.019898326,358.1867357,0.221364408,0.299628865
shock,dgrp491,0.225474581,0.019893539,360.768484,0.186352715,0.264596446
noShock,dgrp502,0.264580637,0.019901302,361.3768992,0.225443728,0.303717547
shock,dgrp502,0.25619218,0.019860047,358.448963,0.217135329,0.295249031
noShock,dgrp505,0.278971735,0.020883534,434.0677775,0.237926315,0.320017155
shock,dgrp505,0.267207284,0.019854662,358.1343059,0.228160907,0.306253661
noShock,dgrp517,0.27219507,0.021369381,455.8556721,0.230200356,0.314189784
shock,dgrp517,0.262992599,0.020303759,374.0739743,0.223068791,0.302916406
noShock,dgrp535,0.298707243,0.019886638,360.1394413,0.25959872,0.337815765
shock,dgrp535,0.1853159,0.020187096,380.9749367,0.145623823,0.225007977
noShock,dgrp551,0.258285062,0.020018937,354.6908959,0.218914323,0.297655801
shock,dgrp551,0.3084004,0.020004152,350.9337759,0.269057298,0.347743503
noShock,dgrp559,0.280683751,0.020000551,350.6715076,0.241347629,0.320019874
shock,dgrp559,0.335992787,0.019984843,349.6317999,0.296687154,0.37529842
noShock,dgrp563,0.27135222,0.020001593,310.9216939,0.231996624,0.310707815
shock,dgrp563,0.196129732,0.02042663,271.8766475,0.155915257,0.236344207
noShock,dgrp584,0.265734362,0.019989679,352.8586038,0.226420466,0.305048259
shock,dgrp584,0.249184874,0.020301829,373.8834973,0.209264796,0.289104952
noShock,dgrp59,0.314262405,0.020029452,355.4427251,0.274871273,0.353653537
shock,dgrp59,0.191284591,0.019978623,349.2958783,0.151991059,0.230578122
noShock,dgrp595,0.295601503,0.019996452,353.2542398,0.256274437,0.334928568
shock,dgrp595,0.244432317,0.020038048,356.0260028,0.205024499,0.283840134
noShock,dgrp627,0.274888663,0.020036727,292.212832,0.235454071,0.314323256
shock,dgrp627,0.254215894,0.020380847,243.898411,0.214070962,0.294360825
noShock,dgrp705,0.268994702,0.02063566,367.1926599,0.2284158,0.309573605
shock,dgrp705,0.18918744,0.020628503,394.8323399,0.148632,0.22974288
noShock,dgrp712,0.280015516,0.019913216,362.0956776,0.240855438,0.319175595
shock,dgrp712,0.215226005,0.019856806,355.4240835,0.176174401,0.254277609
noShock,dgrp716,0.276486919,0.019871857,359.1406262,0.237407097,0.315566741
shock,dgrp716,0.261229394,0.019892948,357.9061866,0.222107638,0.30035115
noShock,dgrp721,0.267036299,0.020008923,311.3045457,0.22766647,0.306406128
shock,dgrp721,0.268362193,0.020026356,245.422749,0.228916737,0.307807648
noShock,dgrp732,0.292419799,0.020007906,353.9861005,0.253070486,0.331769112
shock,dgrp732,0.252233874,0.020298335,366.98597,0.21231823,0.292149517
noShock,dgrp737,0.289740694,0.019997286,350.5063182,0.250410929,0.329070459
shock,dgrp737,0.263654468,0.020344984,376.9673754,0.223650595,0.30365834
noShock,dgrp738,0.304940026,0.019995252,350.2526528,0.265614162,0.34426589
shock,dgrp738,0.274765296,0.020005077,353.9123255,0.23542152,0.314109072
noShock,dgrp75,0.347723072,0.020030392,352.5104693,0.308328971,0.387117173
shock,dgrp75,0.248561363,0.019993076,349.9032766,0.209239644,0.287883082
noShock,dgrp765,0.300730798,0.020320151,292.8919379,0.260738781,0.340722814
shock,dgrp765,0.300145043,0.020049522,246.9477242,0.260655167,0.33963492
noShock,dgrp776,0.311227011,0.019986746,352.612599,0.27191879,0.350535233
shock,dgrp776,0.293648987,0.01998394,349.6554873,0.254345139,0.332952835
noShock,dgrp786,0.273546976,0.020660087,400.6658452,0.232931262,0.314162691
shock,dgrp786,0.220060892,0.019988183,352.7242907,0.180749887,0.259371896
noShock,dgrp787,0.304100557,0.020030273,355.4193915,0.264707802,0.343493313
shock,dgrp787,0.25891842,0.019979556,349.3715384,0.219623084,0.298213756
noShock,dgrp790,0.23495987,0.020001736,350.7314604,0.195621439,0.2742983
shock,dgrp790,0.240768003,0.020325349,375.4795631,0.200802229,0.280733777
noShock,dgrp801,0.313749913,0.020003532,311.2330816,0.274390656,0.35310917
shock,dgrp801,0.163351089,0.020047828,246.403029,0.12386412,0.202838059
noShock,dgrp802,0.290575499,0.019986462,349.7678474,0.251266734,0.329884263
shock,dgrp802,0.24185033,0.019996854,350.3053505,0.202521336,0.281179323
noShock,dgrp804,0.286324402,0.019894512,358.1525496,0.247199661,0.325449142
shock,dgrp804,0.223420522,0.020192765,381.302725,0.183717407,0.263123637
noShock,dgrp805,0.295646594,0.020053553,357.0072148,0.256208653,0.335084534
shock,dgrp805,0.248691327,0.020077212,358.777273,0.20920752,0.288175134
noShock,dgrp808,0.340260834,0.02000353,350.8062271,0.300918905,0.379602763
shock,dgrp808,0.218200933,0.019973804,349.0146991,0.178916769,0.257485096
noShock,dgrp818,0.351782649,0.020669206,401.3734412,0.311149224,0.392416073
shock,dgrp818,0.276181249,0.020304843,374.1247666,0.236255327,0.316107172
noShock,dgrp820,0.261206581,0.020318716,374.8520743,0.221253632,0.301159531
shock,dgrp820,0.309157433,0.019981603,349.5458196,0.269858139,0.348456728
noShock,dgrp821,0.310272121,0.019887523,357.4068877,0.271160849,0.349383393
shock,dgrp821,0.194709615,0.019867436,355.9925793,0.155637319,0.23378191
noShock,dgrp822,0.27128014,0.020003059,350.7818543,0.231939128,0.310621152
shock,dgrp822,0.201105495,0.019987453,349.8747232,0.161794824,0.240416166
noShock,dgrp850,0.310457869,0.019995274,350.2199665,0.27113195,0.349783789
shock,dgrp850,0.308832852,0.020194992,366.3295086,0.26912019,0.348545513
noShock,dgrp853,0.272621776,0.020026846,355.212093,0.23323568,0.312007871
shock,dgrp853,0.291151278,0.020324054,375.134949,0.251187931,0.331114625
noShock,dgrp855,0.286536587,0.02002304,354.9463063,0.247157878,0.325915296
shock,dgrp855,0.228841286,0.01997103,348.8580226,0.189562517,0.268120054
noShock,dgrp859,0.312591968,0.020300927,367.0705969,0.272671257,0.352512679
shock,dgrp859,0.20877924,0.020966434,414.5274553,0.167565453,0.249993028
noShock,dgrp861,0.260813292,0.019905255,358.4363986,0.221667531,0.299959053
shock,dgrp861,0.178131322,0.0201749,380.0567071,0.138462919,0.217799724
noShock,dgrp879,0.306703546,0.020012292,354.2930794,0.267345725,0.346061368
shock,dgrp879,0.166845604,0.020333922,376.1297951,0.126863195,0.206828013
noShock,dgrp884,0.257593205,0.019879599,360.017496,0.218498479,0.296687931
shock,dgrp884,0.231361423,0.019884534,357.2482181,0.19225597,0.270466875
noShock,dgrp892,0.302177129,0.020011351,354.2399457,0.262821139,0.341533119
shock,dgrp892,0.276237386,0.020088615,356.1875356,0.236730182,0.31574459
noShock,dgrp897,0.314836115,0.020664603,386.3850929,0.274206971,0.355465258
shock,dgrp897,0.228150152,0.020285039,372.7473507,0.188262694,0.26803761
noShock,dgrp91,0.309040702,0.020015115,354.5865227,0.269677441,0.348403963
shock,dgrp91,0.383596385,0.019986637,352.6699118,0.3442884,0.422904369
noShock,dgrp911,0.255422611,0.019987434,349.8005884,0.216111948,0.294733274
shock,dgrp911,0.269496042,0.020008346,354.2069815,0.23014595,0.308846134
noShock,dgrp913,0.319773019,0.020005947,353.8236647,0.280427499,0.359118539
shock,dgrp913,0.253249656,0.020280051,372.3618697,0.213371871,0.293127442
noShock,dgrp93,0.334447209,0.020314626,374.5653467,0.294502203,0.374392214
shock,dgrp93,0.261044664,0.019971122,351.6968885,0.221766818,0.30032251
noShock,dnc1,0.298617782,0.019996278,353.1950338,0.259291037,0.337944527
shock,dnc1,0.290185565,0.020298995,367.0071592,0.25026863,0.330102501
noShock,ee5,0.240977088,0.020062504,354.5012591,0.201520595,0.280433581
shock,ee5,0.252745057,0.020329287,375.8950223,0.212771682,0.292718432
