genotype,shocked,trackid,learningscore
dgrp100,false,17,0.005889824208112571
dgrp100,false,18,0.04389815291834179
dgrp100,false,19,0.01003371791881405
dgrp100,false,20,0.041234255816260834
dgrp100,false,21,0.05533264043805891
dgrp100,false,22,0.03065317692390615
dgrp100,false,23,0.03980611263765002
dgrp100,false,24,0.026147474934516968
dgrp100,false,49,0.03202065755241054
dgrp100,false,50,0.013179065872143014
dgrp100,false,51,0.012920526344658484
dgrp100,false,52,0.022834100286185766
dgrp100,false,53,0.022688964606525003
dgrp100,false,54,0.000721678282889715
dgrp100,false,55,0.009828966016068919
dgrp100,false,56,0.016127301258018117
dgrp100,false,25,0.0062481605917175664
dgrp100,false,26,0.006163388385940299
dgrp100,false,27,0.012880017722576492
dgrp100,false,28,0.016865371814165697
dgrp100,false,29,0.0282297919672935
dgrp100,false,30,0.034487325950713604
dgrp100,false,31,0.03789427309692198
dgrp100,false,32,0.005558998414143174
dgrp100,false,57,0.03841066724492659
dgrp100,false,58,0.05807352337441757
dgrp100,false,59,0.04158335276057806
dgrp100,false,60,0.03069480195424193
dgrp100,false,61,0.02778344153306153
dgrp100,false,62,0.017595017143216096
dgrp100,false,63,0.008515418040237116
dgrp100,false,64,0.014784024772475507
dgrp100,true,1,0.04821502520597212
dgrp100,true,2,0.016196290840241462
dgrp100,true,3,0.02376022118011689
dgrp100,true,33,0.019647849808722362
dgrp100,true,34,0.016073174896884923
dgrp100,true,35,0.046185222926107244
dgrp100,true,36,0.02484380682303511
dgrp100,true,37,0.04802229670044342
dgrp100,true,38,0.01844843893053033
dgrp100,true,39,0.07071484596998542
dgrp100,true,4,0.052114831562515646
dgrp100,true,40,0.04250810514291434
dgrp100,true,5,0.012397044446512323
dgrp100,true,6,0.062264142352255775
dgrp100,true,7,0.1008601071323921
dgrp100,true,8,0.06270999307435682
dgrp100,true,10,0.048691106640644605
dgrp100,true,11,0.06839622473254883
dgrp100,true,12,0.08770878879512892
dgrp100,true,13,0.03448768792983781
dgrp100,true,14,0.056273889464900806
dgrp100,true,15,0.022832907206834036
dgrp100,true,16,0.12783661531622428
dgrp100,true,41,0.08714225436997042
dgrp100,true,42,0.00409807294463313
dgrp100,true,43,0.0026808553085376496
dgrp100,true,44,0.02572339053302805
dgrp100,true,45,0.021238988986445106
dgrp100,true,46,0.0253428186039808
dgrp100,true,47,0.030631648377958426
