"id","genotype","sex","exp_type","shock_color","shock_arm","treatment","replicates","ZT0","ZT","starting_arm","starting_color","frac_time_on_shocked","first_half_frac_time_on_shocked","second_half_frac_time_on_shocked","frac_14","frac_24","frac_34","frac_44","frac_time_on_shockArm","frac_time_on_neutral_left","frac_time_on_neutral_right","left_handedness","first_half_left_handedness","second_half_left_handedness","left_handedness_14","left_handedness_24","left_handedness_34","left_handedness_44","activity","first_half_activity","second_half_activity","activity_shock","activity_noShock","activity_shock_color","first_half_activity_shock_color","second_half_activity_shock_color","activity_noShock_color","first_half_activity_noShock_color","second_half_activity_noShock_color","activity_14","activity_24","activity_34","activity_44","activity_shock_color_14","activity_shock_color_24","activity_shock_color_34","activity_shock_color_44","activity_noShock_color_14","activity_noShock_color_24","activity_noShock_color_34","activity_noShock_color_44","total_choices","correct_choices","incorrect_choices","first_half_total_choices","first_half_correct_choices","first_half_incorrect_choices","total_choices_14","correct_choices_14","incorrect_choices_14","total_choices_24","correct_choices_24","incorrect_choices_24","total_choices_34","correct_choices_34","incorrect_choices_34","total_choices_44","correct_choices_44","incorrect_choices_44","analysis_time","bias_frac_time_on_shocked","bias_left_handedness","bias_activity","bias_activity_shock","bias_activity_noShock","bias_activity_shock_color","bias_activity_noShock_color","bias_total_choices","bias_correct_choices","bias_incorrect_choices","bias_analysis_time","post_frac_time_on_shocked","post_left_handedness","post_first_half_left_handedness","post_second_half_left_handedness","post_activity","post_activity_shock","post_activity_noShock","post_activity_shock_color","post_activity_noShock_color","post_total_choices","post_correct_choices","post_incorrect_choices","post_first_half_total_choices","post_first_half_correct_choices","post_first_half_incorrect_choices","post_analysis_time","group","group_sex","folder","experiment_date","second_half_total_choices","second_half_correct_choices","second_half_incorrect_choices","post_second_half_total_choices","post_second_half_correct_choices","post_second_half_incorrect_choices","experiment_by","head_scanned","abs_dev","abs_dev_sex","day"
"5","dgrp362","female","operant_place","blue","M","shock","1","11:00:00","17:46:54","R","G",0.0124460248920498,0.0226175349428208,0.00228426395939086,0.0453156822810591,0,0.00457084814626714,0,0.0124460248920498,0.358140716281433,0.614173228346457,0.5,0.2,1,0,1,1,NA,0.221912716010581,0.288163052351686,0.164888893385827,2.11458205195626,0.14464363412998,1.17936268759396,1.17936268759396,NA,0.147568221481488,0.155905132602112,0.124518859683214,0.426467166647904,0.142020997852514,0.309397025365221,0.0203807614064341,1.17936268759396,NA,NA,NA,0.222729582111746,0.0960983622309763,0.225344031494534,0.020785269454259,11,6,5,7,4,3,5,3,2,2,1,1,NA,NA,NA,NA,NA,NA,1200,0.299379524301965,-0.75,0.561951640681923,NA,0.561951640681923,0.214857988991506,0.331741110421266,11,5,6,300,0,NA,NA,NA,0.0493084332929733,NA,0.0493084332929733,NA,0.0493084332929733,1,1,0,NA,NA,NA,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",4,2,2,NA,NA,NA,"goncalo",FALSE,0.22245345736102,0.254732497508664,NA
"6","dgrp362","female","operant_place","blue","R","shock","1","11:00:00","17:46:54","X",NA,0.025749618837879,0.00610169491525424,0.045362220717671,0.0122365737593474,0,0,0.0906630581867388,0.025749618837879,0.588175503981027,0.227850245637811,0,0.2,-0.2,0.333333333333333,0,-0.333333333333333,0,0.488753452830746,0.520352418549673,0.469649033587867,0.366014083785993,0.489774065603848,0.272644851319269,0.272644851319269,NA,0.402434934821256,0.441220175372157,0.369854798886696,0.539079862376244,0.501701102543536,0.545541069173772,0.393756998001963,0.639337377489782,0.0656995642725429,NA,NA,0.386398799514648,0.507186556211688,0.532333065216576,0.237885551998671,15,13,2,8,7,1,5,4,1,3,3,0,2,2,0,5,4,1,900,0,0.333333333333333,0.422704541517766,NA,0.422704541517766,NA,0.296297102595644,4,4,0,300,0.14234693877551,0.333333333333333,0.333333333333333,NA,0.304371725436023,NA,0.304371725436023,0.450389657656555,0.215659561633387,3,2,1,NA,NA,NA,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",7,6,1,NA,NA,NA,"goncalo",FALSE,0.20914986341519,0.241428903562834,NA
"7","dgrp362","female","operant_place","blue","L","shock","1","11:00:00","17:46:54","L","B",0.0168910337820676,0.0337992376111817,0,0.0677189409368636,0,0,0,0.0168910337820676,0.11239522479045,0.360680721361443,0.666666666666667,1,-1,1,NA,NA,-1,0.128719026510439,0.142070126396917,0.109039664651136,2.90168860467639,0.106151353535727,0.740603302650116,0.740603302650116,NA,0.11016085608109,0.76406245003397,0.0683120490635028,0.222152157883566,0.0510536121710873,0.0919707632271487,0.126108566075122,0.740603302650116,NA,NA,NA,1.95820438978133,0.547942393262561,0.0559073377086193,0.0843940463931543,9,7,2,6,4,2,5,3,2,1,1,0,0,0,0,3,3,0,1200,0.5641158221303,NA,0.109588980969674,NA,0.109588980969674,0.104304133655924,NA,2,1,1,300,0,1,1,NA,0.129123131732719,NA,0.129123131732719,NA,0.687473447198302,2,2,0,NA,NA,NA,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",3,3,0,NA,NA,NA,"goncalo",FALSE,0.218008448471002,0.250287488618646,NA
"8","dgrp362","female","operant_place","blue","M","shock","1","11:00:00","17:46:54","L","G",0,0,0,0,0,0,0,0,0.0255335365853659,0.95287093495935,0,0,0,0,0,NA,0,0.486310889727489,0.465498710564317,0.533301799544475,2.03331443030396,0.435231982618455,NA,NA,NA,0.42351477683277,0.408154120012102,0.462668631366514,0.398984425178302,0.485884710967331,0.399288781498659,0.667314817590291,NA,NA,NA,NA,0.319930419556041,0.447116588420854,0.392133028674973,0.535925865030074,17,9,8,7,4,3,5,3,2,2,1,1,2,1,1,8,4,4,1200,0,0,0.555395418143134,NA,0.555395418143134,NA,0.514129219794815,8,5,3,300,0.276671771311894,-1,-1,-1,0.550748565795722,NA,0.550748565795722,0.385900254233914,0.579386390758008,5,3,2,4,2,2,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",10,5,5,1,1,0,"goncalo",FALSE,0.23489948225307,0.267178522400713,NA
"13","dgrp362","female","operant_place","blue","L","shock","1","11:00:00","17:46:54","L","B",0.35737871475743,0.31994917407878,0.39492385786802,0.00152749490835031,0.636916835699797,0.358049771457593,0.431541582150101,0.35737871475743,0.198882397764796,0.131572263144526,-0.125,0.333333333333333,-0.714285714285714,0.333333333333333,0.333333333333333,-1,-1,0.531941368712929,0.688040626854171,0.408799108110394,0.453488746624621,0.533007324208246,0.403238272239218,0.423845657418222,0.384379039991391,0.575204019802302,0.588978152019503,0.589479093369297,0.749719055585523,0.638371811057561,0.393344334419365,0.424253881801422,0.483450772710725,0.299872286097924,0.384379039991391,NA,0.575745828519674,0.676886060247644,0.589479093369297,NA,27,18,9,17,11,6,7,6,1,10,5,5,7,5,2,3,2,1,1200,0.210444674250259,0.142857142857143,1.06532082858147,NA,1.06532082858147,0.808381766759996,0.666200239230632,24,17,7,300,0.436224489795918,-0.333333333333333,1,-1,0.385783330282641,NA,0.385783330282641,0.29613444461056,1.52835927605051,9,5,4,6,3,3,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",10,7,3,3,2,1,"goncalo",FALSE,0.12247923250436,0.0902001923567161,NA
"14","dgrp362","female","operant_place","blue","M","shock","1","11:00:00","17:46:54","L","G",0.0113044582751175,0.016010165184244,0.0066006600660066,0.0320773930753564,0,0.0132046724225495,0,0.0113044582751175,0.415978661247301,0.554680553791439,-0.333333333333333,-0.142857142857143,-1,-0.142857142857143,NA,-1,NA,0.390811874454687,0.431105448149535,0.360566133376822,3.27382926663176,0.308812856304163,2.22695206475299,2.22695206475299,NA,0.308354304502546,0.322919117496373,0.302111567296357,0.597794958544429,0.255397403467117,0.454627455941274,0.266504810812369,2.22695206475299,NA,NA,NA,0.34241561323705,0.31914969864596,0.357365470398226,0.245614007211488,13,7,6,11,6,5,11,6,5,0,0,0,NA,NA,NA,NA,NA,NA,1200,0.428645294725957,-0.333333333333333,0.645286466742979,NA,0.645286466742979,0.263282210999674,0.713913459315655,11,6,5,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",2,1,1,NA,NA,NA,"goncalo",FALSE,0.223595023977952,0.255874064125596,NA
"15","dgrp362","female","operant_place","blue","R","shock","1","11:00:00","17:46:54","X",NA,0.0552977571539056,0.085133418043202,0.024581589958159,0.0229124236252546,0.147058823529412,0,0.0506465517241379,0.0552977571539056,0.117556071152359,0.70134055168858,0.428571428571428,0.333333333333333,1,1,-0.142857142857143,NA,1,0.316423153084488,0.439808335575225,0.206587887063002,0.535607620870684,0.305606815023656,0.920352202986467,0.920352202986467,NA,0.228059845134784,0.328787898821983,0.130378999405232,0.568061578321287,0.325256234791493,0.0166116850423931,0.408245473673872,0.920352202986467,NA,NA,NA,0.483575069691076,0.151138880986086,0.0174279400547549,0.290068428142112,17,13,4,14,11,3,9,8,1,5,3,2,0,0,0,3,2,1,1200,0.281282316442606,-0.333333333333333,0.79394208430396,NA,0.79394208430396,0.694455178981911,0.670845320783361,14,11,3,300,0.00102040816326531,0,NA,0,0.523271585130556,NA,0.523271585130556,NA,0.462938320792759,3,3,0,1,1,0,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",3,2,1,2,2,0,"goncalo",FALSE,0.179601725099164,0.211880765246808,NA
"16","dgrp362","female","operant_place","blue","L","shock","1","11:00:00","17:46:54","L","B",0.00836658514609345,0.00864040660736976,0.00808344198174707,0.0173116089613035,0,0.015744032503809,0,0.00836658514609345,0.358733427725576,0.481657871025872,0.142857142857143,-0.142857142857143,0.333333333333333,-0.5,0,0.333333333333333,0.333333333333333,0.491841565415884,0.533399839664624,0.448039628083306,1.50812596995273,0.48101635312908,1.48739398343509,1.48739398343509,NA,0.377681039397334,0.42167777413151,0.328573259734297,0.457770666773983,0.605764729972731,0.347909020565613,0.553643612860809,1.48739398343509,NA,NA,NA,0.305137422736949,0.551691782879916,0.256404205538358,0.429107265579385,16,14,2,8,7,1,5,4,1,3,3,0,5,4,1,3,3,0,1200,0.0553257497414685,-0.333333333333333,0.465244828896368,NA,0.465244828896368,0.54945008335152,0.436442613279882,4,3,1,300,0.201020408163265,0.333333333333333,0,1,0.636499099655085,NA,0.636499099655085,0.430108368437717,0.587283031215146,5,4,1,3,3,0,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",8,7,1,2,1,1,"goncalo",FALSE,0.226532897106976,0.25881193725462,NA
"21","dgrp362","female","operant_place","blue","R","shock","1","11:00:00","17:46:54","R","B",0.305605095541401,0.0254129606099111,0.587078651685393,0.0509164969450102,0,0.612493651599797,0.561601642710472,0.305605095541401,0.559872611464968,0.100764331210191,0,1,-0.333333333333333,1,NA,-1,0,0.313405444127111,0.26985813604926,0.379613214953238,0.302344329899479,0.315394604600844,0.305385893132304,0.305385893132304,NA,0.263016349777642,0.197400218853738,0.427259623671683,0.334992696158683,0.231526546178038,0.44294236057986,0.315502228022584,0.400551097066172,0.116636536007352,NA,NA,0.198027381472027,0.207373619475453,0.427259623671683,NA,7,4,3,3,2,1,3,2,1,0,0,0,2,1,1,2,1,1,1200,0.989648033126294,NA,0.745012111177812,NA,0.745012111177812,0.747855871297197,NA,1,0,1,300,0.477040816326531,0,1,0,0.583299926825878,NA,0.583299926825878,0.48686282204885,0.464356364796516,5,3,2,3,2,1,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",4,2,2,2,1,1,"goncalo",FALSE,0.0707056132883317,0.0384265731406878,NA
"22","dgrp362","female","operant_place","blue","L","shock","1","11:00:00","17:46:54","R","G",0.641986283972568,0.511054637865311,0.772842639593909,0.0203665987780041,1,0.655154900964957,0.890466531440162,0.641986283972568,0.0500381000762002,0.236601473202946,-0.384615384615385,-0.5,-0.333333333333333,-0.5,NA,-0.428571428571428,0,0.694908334705334,0.542829990777382,0.813684442809454,0.612282567924561,0.799956375017938,0.548370905967424,0.532726275022737,0.573551816749477,0.55740000881332,0.55740000881332,NA,0.572846562424088,0.543285046828598,0.921460943476611,0.705907942142297,0.449566651323687,0.633432827405484,0.573551816749477,NA,0.364207541924372,1.00109151469875,NA,NA,25,21,4,11,10,1,11,10,1,0,0,0,11,9,2,3,2,1,1200,0.210961737331955,0.333333333333333,0.635087498624084,NA,0.635087498624084,0.707958181888364,0.458503864602219,11,8,3,300,0.697959183673469,-0.333333333333333,-1,0,1.02756460153313,NA,1.02756460153313,0.651566876412372,1.10877514091144,12,8,4,6,3,3,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",14,11,3,6,5,1,"goncalo",FALSE,0.407086801719498,0.374807761571855,NA
